license_type,application_classification,approved_license_type,approved_license_stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,ein_tin,application_number,submitted_date,first_compliance_review_date,lic_fee_payment_submitted_date,priority,fee_waiver_request,fee_waiver_ee_or_se_number,ee_priority_status,ee_priority_number_from_account,ee_priority_number_from_application,rmd_priority_status,rmd_priority_number_from_account,rmd_priority_number_from_application,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,application_created_date,cnb_deemed_complete_date,application_approved_date,lic_start_date,lic_expiration_date,establishment_address,establishment_address_2,establishment_county,pmt_amount,lic_fee_amount,zip,town,county,county_lat,county_long,region,cccupdatedate,licensing_authority_id,licensing_authority,business_structure,business_email,business_owner_name,parcel_number,issue_date,expiration_date,business_image_url,business_website,business_phone
Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PDO103589,"ON ROOT, LLC",N/A,,N/A,,,105 UNION STREET,,EVERETT,MA,02149,,,105 UNION STREET,,EVERETT,MA,02149,35-2738465,PDOA103589,Sun Apr 03 2022 13:14:36 GMT-0400 (Eastern Daylight Time),Tue Mar 29 2022 14:06:36 GMT-0400 (Eastern Daylight Time),,False,,SE305692,,,,,,,Minority-Owned Business,,,,Mon Mar 07 2022 19:12:40 GMT-0500 (Eastern Standard Time),,Mon Apr 25 2022 10:34:45 GMT-0400 (Eastern Daylight Time),Mon Apr 25 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Apr 25 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR282126,"Turning Leaf Centers Otis, LLC",Otis,MA,02153,42.232826,-73.109745,1570 north main road,,Otis,MA,02153,POINT (-71.275566 42.459085),POINT (-73.109745 42.2328260),PO Box 1328,,East Otis,MA,01029,83-4630336,MRN282126,Sun May 31 2020 20:30:26 GMT-0400 (Eastern Daylight Time),Tue Feb 18 2020 00:00:00 GMT-0500 (Eastern Standard Time),,False,,,,,,,,,Not a DBE,,,,Tue Dec 04 2018 18:06:37 GMT-0500 (Eastern Standard Time),Fri Jun 12 2020 07:46:33 GMT-0400 (Eastern Daylight Time),Thu Aug 06 2020 14:47:57 GMT-0400 (Eastern Daylight Time),Thu Aug 12 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Sun Sep 18 2022 04:00:00 GMT-0400 (Eastern Daylight Time),1570 N Main Rd,N/A,Berkshire County,300,10000,02153,Medford,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,COMMENCE OPS,COMMENCE OPS,10/28/2022,COMPLETE,MR283351,"Full Harvest Moonz, Inc.",Lowell,MA,01851,42.627977,-71.357424,95-101 Plaistow Road,,Haverhill,MA,01830,POINT (-71.275566 42.459085),POINT (-71.357423 42.6279770),22 Veronica Lane,,Weymouth,MA,02189,83-2454860,MRN283351,Tue Jun 30 2020 16:10:56 GMT-0400 (Eastern Daylight Time),Mon Jul 13 2020 12:01:29 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Woman-Owned Business,,,Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Mar 11 2020 11:09:19 GMT-0400 (Eastern Daylight Time),Fri Jul 17 2020 07:57:59 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:08:32 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Nov 18 2023 03:00:00 GMT-0500 (Eastern Standard Time),1201 Westford St,N/A,Middlesex County,1500,10000,01851,Lowell,Middlesex,42.459085,-71.275566,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283662,"True Cannabis, Inc.",Heath,MA,01346,42.72534,-72.827236,2 Bellor Road,,Heath,MA,01346,POINT (-72.573941 42.587072),POINT (-72.827235 42.7253400),45 School Street,Suite 202,Boston,MA,02108,87-3649278,MCN283662,Wed May 04 2022 10:36:56 GMT-0400 (Eastern Daylight Time),Tue Jan 18 2022 09:57:53 GMT-0500 (Eastern Standard Time),,False,no,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,Tue Dec 07 2021 21:17:27 GMT-0500 (Eastern Standard Time),Fri May 06 2022 06:49:24 GMT-0400 (Eastern Daylight Time),Thu Jun 09 2022 13:01:27 GMT-0400 (Eastern Daylight Time),Tue Jun 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),92 Sadoga Rd,N/A,Franklin County,1500,25000,01346,Heath,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Product Manufacturer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281664,"Bostica, LLC",Lynn,MA,01905,42.458299,-70.973962,71 Linden Street,,Lynn,MA,01905,POINT (-70.970827 42.635475),POINT (-70.973962 42.4582989),71 linden Street,,Lynn,MA,01905,83-3189639,MPN281664,Wed Mar 04 2020 13:28:13 GMT-0500 (Eastern Standard Time),Tue Feb 04 2020 00:00:00 GMT-0500 (Eastern Standard Time),,False,,,,,,,,,Not a DBE,,,,Fri May 10 2019 15:13:24 GMT-0400 (Eastern Daylight Time),Thu Mar 05 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Jun 04 2020 14:06:19 GMT-0400 (Eastern Daylight Time),Thu May 11 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jun 19 2024 04:00:00 GMT-0400 (Eastern Daylight Time),71 Linden St,N/A,Essex County,300,10000,01905,Lynn,Essex,42.635475,-70.970827,Northeast,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283558,"Lifted Luxury, Inc",Millville,MA,01529,42.024445,-71.581482,615 Adams Street,,Dorchester,MA,02122,POINT (-71.840209 42.329642),POINT (-71.581481 42.024445),100 HARTFORD AVE #3305-09,,PROVIDENCE,RI,02909,85-2650668,MRN283558,Fri Nov 13 2020 12:42:39 GMT-0500 (Eastern Standard Time),Thu Oct 29 2020 11:39:42 GMT-0400 (Eastern Daylight Time),,False,,,,,,,,,Woman-Owned Business,,,,Tue May 26 2020 10:50:54 GMT-0400 (Eastern Daylight Time),Fri Nov 20 2020 09:46:55 GMT-0500 (Eastern Standard Time),Thu Jan 14 2021 15:35:40 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Mar 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),10 Prospect St,N/A,Worcester County,1500,10000,01529,Millville,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5822,Bean Collective,N/A,,N/A,,,63 Coburn st,,Lowell,MA,01850,,,94 Dalby st,,Newton,MA,02458,84-2083386,PMDA5822,Sat Jul 10 2021 15:44:27 GMT-0400 (Eastern Daylight Time),Fri Jul 09 2021 11:36:39 GMT-0400 (Eastern Daylight Time),,False,,SE303968,INCOMPLETE,EE201943,,,,,Not a DBE,,,,Fri May 28 2021 14:14:36 GMT-0400 (Eastern Daylight Time),,Mon Jul 26 2021 11:04:26 GMT-0400 (Eastern Daylight Time),Mon Jul 26 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Jul 26 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/8/2022,COMPLETE,MR284511,"The Heirloom Collective, Inc.",Bernardston,MA,01337,42.669471,-72.537543,38 Arbor Way,,North Easton,MA,02356,POINT (-72.573941 42.587072),POINT (-72.537542 42.6694710),38 Arbor Way,,North Easton,MA,02356,47-5460213,MRN284511,Tue Mar 01 2022 22:08:51 GMT-0500 (Eastern Standard Time),Tue Feb 15 2022 12:19:24 GMT-0500 (Eastern Standard Time),Mon May 16 2022 18:51:16 GMT-0400 (Eastern Daylight Time),True,no,,,,,APPROVED,RP201869,,Not a DBE,,,Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:05:17 GMT-0500 (Eastern Standard Time),Fri Mar 11 2022 10:25:19 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:10:17 GMT-0400 (Eastern Daylight Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Thu May 16 2024 04:00:00 GMT-0400 (Eastern Daylight Time),87 Northfield Rd,N/A,Franklin County,1500,10000,01337,Bernardston,Franklin,42.587072,-72.573941,Western MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - DBE Status,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC283086,MAIA ADVANCED ORGANICS INC,Clinton,MA,01510,42.410735,-71.6814,1R & 3R GREEN STREET,,CLINTON,MA,01510,POINT (-71.840209 42.329642),POINT (-71.681399 42.4107350),200 SPECTRUM CENTER DR SUITE 300,,IRVINE,CA,92618,85-2339501,MCN283086,Wed Jun 02 2021 14:44:20 GMT-0400 (Eastern Daylight Time),Wed Apr 14 2021 09:10:29 GMT-0400 (Eastern Daylight Time),,False,no,,,,,,,,Minority-Owned Business,Indoor,"Tier 05: 30,001 to 40,000 sq. ft",,Mon Sep 28 2020 12:34:59 GMT-0400 (Eastern Daylight Time),Fri Jul 02 2021 10:01:15 GMT-0400 (Eastern Daylight Time),Fri Sep 17 2021 12:29:53 GMT-0400 (Eastern Daylight Time),Mon Dec 27 2021 03:00:00 GMT-0500 (Eastern Standard Time),Tue Dec 27 2022 03:00:00 GMT-0500 (Eastern Standard Time),1 Green St,N/A,Worcester County,2000,22500,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Cultivator,Expedited Review - License Type,COMMENCE OPS,COMMENCE OPS,6/16/2023,COMPLETE,MC283608,"UC Cultivation, LLC",Ashby,MA,01431,42.647277,-71.790603,601 Fitchburg State Road,,Ashby,MA,01431,POINT (-71.275566 42.459085),POINT (-71.790603 42.6472770),601 Fitchburg State Road,,Ashby,MA,01431,87-2433821,MCN283608,Tue Dec 07 2021 08:59:36 GMT-0500 (Eastern Standard Time),Mon Oct 18 2021 16:04:08 GMT-0400 (Eastern Daylight Time),Mon Mar 21 2022 16:48:12 GMT-0400 (Eastern Daylight Time),False,no,,,,,,,,Not a DBE,Outdoor,"Tier 05: 30,001 to 40,000 sq. ft",Thu Jul 14 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Mon Sep 27 2021 10:40:35 GMT-0400 (Eastern Daylight Time),Fri Dec 10 2021 13:39:29 GMT-0500 (Eastern Standard Time),Thu Mar 10 2022 13:49:21 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 21 2024 04:00:00 GMT-0400 (Eastern Daylight Time),601 Fitchburg State Rd,N/A,Middlesex County,1500,11250,01431,Ashby,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,COMMENCE OPS,COMMENCE OPS,9/20/2019,COMPLETE,MR281248,"Late Spring, Inc. D/B/A Gage Cannabis Company",Ayer,MA,01432,42.551853,-71.56591,38 Littleton Rd,,Ayer,MA,01432,POINT (-71.275566 42.459085),POINT (-71.565910 42.5518530),38 Littleton Rd,,Ayer,MA,01432,82-5274353,MRN281248,Tue Aug 07 2018 10:31:32 GMT-0400 (Eastern Daylight Time),Tue Jul 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Wed Oct 10 2018 13:21:00 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201835,RP201835,Not a DBE,,,Thu Jun 13 2019 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Apr 17 2018 12:37:57 GMT-0400 (Eastern Daylight Time),Fri Aug 10 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 20 2018 15:50:19 GMT-0400 (Eastern Daylight Time),Thu Sep 15 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),38 Littleton Rd,N/A,Middlesex County,300,5000,01432,Ayer,Middlesex,42.459085,-71.275566,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
Marijuana Retailer,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283968,High Hawk Farm LLC,Rutland,MA,01543,42.377958,-71.936422,140 Worcester Road,,Barre,MA,01005,POINT (-71.840209 42.329642),POINT (-71.936421 42.377958),140 Worcester Road,,Barre,MA,01005,84-3294551,MRN283968,Mon Aug 30 2021 19:01:11 GMT-0400 (Eastern Daylight Time),Thu May 06 2021 10:27:47 GMT-0400 (Eastern Daylight Time),Fri Dec 03 2021 15:20:20 GMT-0500 (Eastern Standard Time),False,no,,,,,,,,Not a DBE,,,,Mon Dec 14 2020 14:27:03 GMT-0500 (Eastern Standard Time),Fri Sep 03 2021 09:56:25 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:42:37 GMT-0500 (Eastern Standard Time),Thu Dec 08 2022 03:00:00 GMT-0500 (Eastern Standard Time),Sat Dec 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),80 Main St,N/A,Worcester County,1500,10000,01543,Rutland,Worcester,42.329642,-71.840209,Central MA,8/8/2023,MACCC,Massachusetts Cannabis Control Commission,,,,,,,,,
