business_dba_name,license_number,id,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,license_type,license_status,business_phone,license_designation,license_term,issue_date,business_email,business_legal_name,licensing_authority_id,licensing_authority,license_status_date,expiration_date,activity,parcel_number,business_owner_name,business_structure,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude
365 Recreational Cannabis,423784,6034296550010002.0,17517 15TH AVE NE #B,SHORELINE               ,WA,KING,981553801,Adult-Use Retailer,ACTIVE (ISSUED),2065577778,Adult-Use,,,,365 Recreational Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.1243025,-119.29043
395 Herb,430369,6042834300010002.0,3948B 3RD AVE UNIT 2,LOON LAKE               ,WA,STEVENS,991489683,Adult-Use Retailer,ACTIVE (ISSUED),5096440420,Adult-Use,,,,395 Herb,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.70695500000001,-117.1169984
4:20 Friendly,413586,6033515760010001.0,1515 LEWIS ST,SPOKANE                 ,WA,SPOKANE,992249785,Adult-Use Retailer,ACTIVE (ISSUED),5094990999,Adult-Use,,,,4:20 Friendly,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.1052754,-123.3734375
420 Capitol,424848,6035340690010002.0,5980 CAPITOL BLVD SE,TUMWATER                ,WA,THURSTON,985015274,Adult-Use Retailer,ACTIVE (ISSUED),3604026368,Adult-Use,,,,420 Capitol,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.1046199,-123.3764364
420 Carpenter,415083,6033585480010002.0,422 CARPENTER RD STE 105,LACEY                   ,WA,THURSTON,985037906,Adult-Use Retailer,ACTIVE (ISSUED),3604026368,Adult-Use,,,,420 Carpenter,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6568115,-122.6867313
420 Elma On Main,426678,6035792630010002.0,306 W MAIN ST,ELMA                    ,WA,GRAYS HARBOR,985410000,Adult-Use Retailer,ACTIVE (ISSUED),2539061919,Adult-Use,,,,420 Elma On Main,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.9367674,-122.6684669
420 Grand Central,428560,6041829490010002.0,19941 OLD HIGHWAY 99 SW,ROCHESTER               ,WA,THURSTON,985798689,Adult-Use Retailer,ACTIVE (ISSUED),3604026368,Adult-Use,,,,420 Grand Central,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.300546,-117.7609474
420 Holiday,415526,6033592380010001.0,2028 10TH AVE,LONGVIEW                ,WA,COWLITZ,986324007,Adult-Use Retailer,ACTIVE (ISSUED),3607033103,Adult-Use,,,,420 Holiday,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0509658,-122.7918791
420 Spot Shop,414550,6034051800010001.0,1374 SE LUND AVE,PORT ORCHARD            ,WA,KITSAP,983665628,Adult-Use Retailer,ACTIVE (ISSUED),3603405966,Adult-Use,,,,420 Spot Shop,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.9988413,-122.919283
420 West,414733,6033585480010001.0,410 RONLEE LN NW A1,OLYMPIA                 ,WA,THURSTON,985029266,Adult-Use Retailer,ACTIVE (ISSUED),3604026368,Adult-Use,,,,420 West,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.4892614,-122.1935823
A & J Management Group,421491,6032945690010002.0,234 DIVISION ST NW STE B,OLYMPIA                 ,WA,THURSTON,985024916,Adult-Use Retailer,ACTIVE (ISSUED),5055507710,Adult-Use,,,,A & J Management Group,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0441733,-124.1564255
A Greener Today Marijuana,414441,6034501390010005.0,5209 MARTIN LUTHER KING JR. WAY S,SEATTLE                 ,WA,KING,981186131,Adult-Use Retailer,ACTIVE (ISSUED),2066877877,Adult-Use,,,,A Greener Today Marijuana,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.8463958,-122.4863354
A Greener Today Marijuana,414814,6034501390010003.0,16053 AURORA AVE N STE B STE B,SHORELINE               ,WA,KING,981332610,Adult-Use Retailer,ACTIVE (ISSUED),2068017756,Adult-Use,,,,A Greener Today Marijuana,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.42669799999999,-122.359275
A Greener Today Marijuana,422044,6041339060010001.0,19315 BOTHELL EVERETT HWY #1 UNIT 1,BOTHELL                 ,WA,SNOHOMISH,980127112,Adult-Use Retailer,ACTIVE (ISSUED),4257736021,Adult-Use,,,,A Greener Today Marijuana,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.7397376,-122.4703586
A Greener Today Marijuana-Gold Bar,422168,6035559160010003.0,16810 415TH AVE SE STE A-2,GOLD BAR                ,WA,SNOHOMISH,982510000,Adult-Use Retailer,ACTIVE (ISSUED),4257736037,Adult-Use,,,,A Greener Today Marijuana-Gold Bar,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.011261,-122.7674567
A Greener Today Marijuana-Lynnwood,422109,6035559160010002.0,14608 HWY 99 SUITE #304,LYNNWOOD                ,WA,SNOHOMISH,980875500,Adult-Use Retailer,ACTIVE (ISSUED),4257736037,Adult-Use,,,,A Greener Today Marijuana-Lynnwood,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.1844298,-122.4623674
A Greener Today Walla Walla,426039,6035146970010003.0,655 WEST POPLAR ST,WALLA WALLA             ,WA,WALLA WALLA,993620000,Adult-Use Retailer,ACTIVE (ISSUED),2063803608,Adult-Use,,,,A Greener Today Walla Walla,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.2325274,-122.4732416
A Pipe Dream,422849,6035939070010002.0,RETAIL TITLE CERTIFICATE,MORTON                  ,WA,LEWIS,983560000,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,2069632900,Adult-Use,,,,A Pipe Dream,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.4445106,-120.3281151
Abcdef LLC,421114,6047542880010001.0,RETAIL TITLE CERTIFICATE,CAMAS                   ,WA,CLARK,986072454,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,3609097037,Adult-Use,,,,Abcdef LLC,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.2231125,-122.4660551
Access Canibus LLC,422765,6035572950010001.0,3082 WAITTS LAKE RD,VALLEY                  ,WA,STEVENS,991810000,Adult-Use Retailer,ACTIVE (ISSUED),3604703051,Adult-Use,,,,Access Canibus LLC,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.86148,-122.5851326
Alien Commander LLC,422663,6043425950000000.0,RETAIL TITLE CERTIFICATE,BELLEVUE                ,WA,KING,980040000,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,2064099468,Adult-Use,,,,Alien Commander LLC,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6022678,-122.6284978
Alkaloid Cannabis Co,420497,6035725900010001.0,11414 N NEWPORT HWY,SPOKANE                 ,WA,SPOKANE,992181616,Adult-Use Retailer,ACTIVE (ISSUED),5097037058,Adult-Use,,,,Alkaloid Cannabis Co,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.2497057,-122.4906391
Altitude,414225,6033570900010001.0,260 MERLOT DR,PROSSER                 ,WA,BENTON,993509533,Adult-Use Retailer,ACTIVE (ISSUED),5097864200,Adult-Use,,,,Altitude,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6623937,-122.3683572
Always Greener Downtown,415486,6034023580010003.0,15937 REDMOND WAY STE B,REDMOND                 ,WA,KING,980523836,Adult-Use Retailer,ACTIVE (ISSUED),4258615497,Adult-Use,,,,Always Greener Downtown,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6902366,-122.3449915
American Harvest,422954,6033525730010005.0,7550 US 97,PESHASTIN               ,WA,CHELAN,988470000,Adult-Use Retailer,ACTIVE (ISSUED),5033177035,Adult-Use,,,,American Harvest,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.5936989,-122.6138684
American Mary,410332,6033452790010001.0,321 NE 45TH ST,SEATTLE                 ,WA,KING,981056133,Adult-Use Retailer,ACTIVE (ISSUED),3038295712,Adult-Use,,,,American Mary,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,45.6448615,-122.6021274
American Mary Cannabis 21+,420292,6031478630010001.0,5300 17TH AVE NW STE A,SEATTLE                 ,WA,KING,981073815,Adult-Use Retailer,ACTIVE (ISSUED),3038295712,Adult-Use,,,,American Mary Cannabis 21+,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.503226,-122.2464773
Anacortes Cannabis,421652,6033570100010002.0,7656 STATE ROUTE 20 UNIT A,ANACORTES               ,WA,SKAGIT,982218311,Adult-Use Retailer,ACTIVE (ISSUED),3605886222,Adult-Use,,,,Anacortes Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.3898861,-122.3352197
Apex Cannabis,421110,6033264170010002.0,955 W BROADWAY AVE,MOSES LAKE              ,WA,GRANT,988370000,Adult-Use Retailer,ACTIVE (ISSUED),5094990646,Adult-Use,,,,Apex Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0508347,-122.7969407
Apex Cannabis,422447,6033264170010004.0,21502 E GILBERT RD,OTIS ORCHARDS           ,WA,SPOKANE,990279241,Adult-Use Retailer,ACTIVE (ISSUED),5094990646,Adult-Use,,,,Apex Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.1647937,-122.9158913
Apex Cannabis,425767,6033264170010008.0,1325 N DIVISION ST STE 104,SPOKANE                 ,WA,SPOKANE,992021808,Adult-Use Retailer,ACTIVE (ISSUED),5094990646,Adult-Use,,,,Apex Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.1956569,-123.3636068
Aristocrat Enterprises Ii,422460,6047743750010001.0,"2947 E HWY 101 STE A, B SUITE A AND B",PORT ANGELES            ,WA,CLALLAM,983629059,Adult-Use Retailer,ACTIVE (ISSUED),2062000462,Adult-Use,,,,Aristocrat Enterprises Ii,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.0123749,-122.5415973
Awow Inc. (Title Owner Only),414381,6034023650000000.0,RETAIL TITLE CERTIFICATE,KENT                    ,WA,KING,980320000,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,4258299707,Adult-Use,,,,Awow Inc. (Title Owner Only),WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.4470639,-122.830186
B Street Bud,414558,6032410690010002.0,400 BURDIN AVE,GRAND COULEE            ,WA,GRANT,991335009,Adult-Use Retailer,ACTIVE (ISSUED),5096332453,Adult-Use,,,,B Street Bud,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.34373009999999,-122.0178749
Barnies Greenery LLC (Title Owner Only),357353,6043079930000000.0,RETAIL TITLE CERTIFICATE,WINLOCK                 ,WA,LEWIS,985969750,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,2532731260,Adult-Use,,,,Barnies Greenery LLC (Title Owner Only),WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.1435898,-122.9281283
Bayshore Cannabis Co,415127,6041578100010001.0,3831 HIGHWAY 3,SHELTON                 ,WA,MASON,985840000,Adult-Use Retailer,ACTIVE (ISSUED),2062344663,Adult-Use,,,,Bayshore Cannabis Co,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0432269,-122.8571266
Belfair Cannabis Company,422298,6045863300010003.0,24090 NE STATE ROUTE 3 STE I,BELFAIR                 ,WA,MASON,985289665,Adult-Use Retailer,ACTIVE (ISSUED),4044063054,Adult-Use,,,,Belfair Cannabis Company,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.7944259,-122.4853411
Better Buds,421709,6035924360010001.0,841 NESS CORNER RD STE B STE B,PORT HADLOCK            ,WA,JEFFERSON,983399572,Adult-Use Retailer,ACTIVE (ISSUED),3607316611,Adult-Use,,,,Better Buds,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.1703283,-119.0512156
Better Buds,422525,6033530980010005.0,2840 E HWY 101,PORT ANGELES            ,WA,CLALLAM,983629080,Adult-Use Retailer,ACTIVE (ISSUED),3607316611,Adult-Use,,,,Better Buds,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.20897679999999,-118.2268762
Better Buds,425965,6033530980010004.0,10384 SILVERDALE WAY NW STE 10,SILVERDALE              ,WA,KITSAP,983837670,Adult-Use Retailer,ACTIVE (ISSUED),3607316611,Adult-Use,,,,Better Buds,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.4152414,-117.0458336
Better Buds,430175,6046285230010001.0,946 WASHINGTON WAY STE 100,LONGVIEW                ,WA,COWLITZ,986324030,Adult-Use Retailer,ACTIVE (ISSUED),3607033791,Adult-Use,,,,Better Buds,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.12072209999999,-122.9327116
Birch Bay Budz,429761,6043510130010003.0,8125 BIRCH BAY SQUARE ST #222,BLAINE                  ,WA,WHATCOM,982309660,Adult-Use Retailer,ACTIVE (ISSUED),5092094569,Adult-Use,,,,Birch Bay Budz,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.6197842,-120.5114786
Blaine Cannabis,415064,6045989840010001.0,922 PEACE PORTAL DR,BLAINE                  ,WA,WHATCOM,982304409,Adult-Use Retailer,ACTIVE (ISSUED),3603328922,Adult-Use,,,,Blaine Cannabis,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.4876598,-122.2590488
Bloom,350766,6048652490010001.0,11311 HWY 99,EVERETT                 ,WA,SNOHOMISH,982044816,Adult-Use Retailer,ACTIVE (ISSUED),5038057828,Adult-Use,,,,Bloom,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6761716,-122.3653162
Bloom,414103,6048643700010001.0,10707 PACIFIC AVE S SUITE D,TACOMA                  ,WA,PIERCE,984446098,Adult-Use Retailer,ACTIVE (ISSUED),5038057828,Adult-Use,,,,Bloom,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.5129865,-122.6309403
Blowin Smoke,422202,6030688930010003.0,1967 HIGHWAY 395 S STE C,CHEWELAH                ,WA,STEVENS,991099708,Adult-Use Retailer,ACTIVE (ISSUED),5099357420,Adult-Use,,,,Blowin Smoke,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,45.6703298,-122.5311292
Bud Barn,421335,6043374800010001.0,6725 MARTIN WAY E,OLYMPIA                 ,WA,THURSTON,985165541,Adult-Use Retailer,ACTIVE (ISSUED),3605150258,Adult-Use,,,,Bud Barn,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.0087717,-122.526794
Bud Barn,428005,6043374800010002.0,10619 VANCIL RD SE,YELM                    ,WA,THURSTON,985979504,Adult-Use Retailer,ACTIVE (ISSUED),3609601220,Adult-Use,,,,Bud Barn,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.3157876,-122.6318312
Bud Commander,413802,6033518190010001.0,849 TROSPER RD SW STE 207,TUMWATER                ,WA,THURSTON,985128145,Adult-Use Retailer,ACTIVE (ISSUED),3606881709,Adult-Use,,,,Bud Commander,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.37070079999999,-122.3030014
Bud Hut,422332,6035726930010004.0,70 SALTSPRING DR UNIT 2A UNIT 2A,FRIDAY HARBOR           ,WA,SAN JUAN,982509062,Adult-Use Retailer,ACTIVE (ISSUED),3606681111,Adult-Use,,,,Bud Hut,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.9408902,-122.2171173
Buddy's,413893,6033590560010001.0,420 SUNSET BLVD N STE A,RENTON                  ,WA,KING,980555512,Adult-Use Retailer,ACTIVE (ISSUED),4252269333,Adult-Use,,,,Buddy's,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.0535069,-122.7832525
Budeez,420661,6035688640010001.0,2111 E 11TH ST,BREMERTON               ,WA,KITSAP,983104810,Adult-Use Retailer,ACTIVE (ISSUED),3606207114,Adult-Use,,,,Budeez,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.5161712,-122.3548285
Budhut,410831,6045346320010005.0,26207 MAPLE VALLEY BLACK DIAMOND RD #C,MAPLE VALLEY            ,WA,KING,980388378,Adult-Use Retailer,ACTIVE (ISSUED),2066932900,Adult-Use,,,,Budhut,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6562734,-117.4288183
Budhut,413901,6045346320010001.0,1131 E STATE ROUTE 532,CAMANO ISLAND           ,WA,ISLAND,982828833,Adult-Use Retailer,ACTIVE (ISSUED),2066932900,Adult-Use,,,,Budhut,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.24011549999999,-122.421527
Budhut,415504,6045346320010002.0,11603 HWY 99,EVERETT                 ,WA,SNOHOMISH,982044811,Adult-Use Retailer,ACTIVE (ISSUED),2066932900,Adult-Use,,,,Budhut,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,45.7131524,-121.4628957
Buds Garage,421005,6033500470010006.0,3015 EVERETT AVE,EVERETT                 ,WA,SNOHOMISH,982013822,Adult-Use Retailer,ACTIVE (ISSUED),4253219471,Adult-Use,,,,Buds Garage,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.8031017,-123.0147132
Canna Green LLC (Title Owner Only),424633,6043926110010001.0,RETAIL TITLE CERTIFICATE,OTHELLO                 ,WA,FRANKLIN,993440000,Adult-Use Retailer,ACTIVE TITLE CERTIFICATE,2532056704,Adult-Use,,,,Canna Green LLC (Title Owner Only),WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.2024777,-123.0913025
Canna West Seattle,420666,6033595980010008.0,5440 CALIFORNIA AVE SW,SEATTLE                 ,WA,KING,981361513,Adult-Use Retailer,ACTIVE (ISSUED),2066969240,Adult-Use,,,,Canna West Seattle,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.1219256,-123.4441289
Canna4Life,414211,6034482820010001.0,721 6TH ST,CLARKSTON               ,WA,ASOTIN,994032001,Adult-Use Retailer,ACTIVE (ISSUED),5099903124,Adult-Use,,,,Canna4Life,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.0105373,-122.7660668
Cannabis & Glass,360307,6033510980010004.0,605 E FRANCIS,SPOKANE                 ,WA,SPOKANE,992080000,Adult-Use Retailer,ACTIVE (ISSUED),5099991112,Adult-Use,,,,Cannabis & Glass,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.1049087,-123.3702332
Cannabis 21,353993,6033565140010006.0,428 10TH ST,HOQUIAM                 ,WA,GRAYS HARBOR,985500000,Adult-Use Retailer,ACTIVE (ISSUED),3606379282,Adult-Use,,,,Cannabis 21,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.6269322,-117.3697479
Cannabis 21,414712,6033565140010007.0,2294 STATE ROUTE 109,HOQUIAM                 ,WA,GRAYS HARBOR,985500000,Adult-Use Retailer,ACTIVE (ISSUED),3606379282,Adult-Use,,,,Cannabis 21,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.5051716,-122.3339984
Cannabis 21,415567,6033565140010002.0,1000 E WISHKAH ST,ABERDEEN                ,WA,GRAYS HARBOR,985200000,Adult-Use Retailer,ACTIVE (ISSUED),3602397149,Adult-Use,,,,Cannabis 21,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.7005548,-117.073726
Cannabis City,412751,6033392690010006.0,421 S LANDER ST STE A,SEATTLE                 ,WA,KING,981345105,Adult-Use Retailer,ACTIVE (ISSUED),2064204206,Adult-Use,,,,Cannabis City,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.1510213,-122.3576311
Cannabis Coast Forks,430237,6040821720010003.0,362 LA PUSH RD,FORKS                   ,WA,CLALLAM,983319504,Adult-Use Retailer,ACTIVE (ISSUED),3603744020,Adult-Use,,,,Cannabis Coast Forks,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.9526247,-122.9022719
Cannabis Country Store,414970,6033592740010003.0,1910 W MAIN ST SUITE 101,BATTLE GROUND           ,WA,CLARK,986040000,Adult-Use Retailer,ACTIVE (ISSUED),3607987194,Adult-Use,,,,Cannabis Country Store,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.10240899999999,-122.803905
Cannabis Provisions East,423542,6031854210010003.0,831 N MILLER ST,WENATCHEE               ,WA,CHELAN,988012046,Adult-Use Retailer,ACTIVE (ISSUED),2533347082,Adult-Use,,,,Cannabis Provisions East,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.3415365,-122.340631
Cannabis Provisions Inc.,425585,6032377590010004.0,938 N 200TH ST STE C,SHORELINE               ,WA,KING,981333149,Adult-Use Retailer,ACTIVE (ISSUED),2066295235,Adult-Use,,,,Cannabis Provisions Inc.,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.8545275,-122.2905244
Cannabis Super Store,402780,6048417560010002.0,705 EAST 1ST ST,CLE ELUM                ,WA,KITTITAS,989221252,Adult-Use Retailer,ACTIVE (ISSUED),3606311239,Adult-Use,,,,Cannabis Super Store,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,47.68541949999999,-117.262743
Cannabiz,87932,6033429340010001.0,1109 RIVER RD STE A,PUYALLUP                ,WA,PIERCE,983713848,Adult-Use Retailer,ACTIVE (ISSUED),2532611850,Adult-Use,,,,Cannabiz,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.7958207,-122.5260944
Cannablyss,415575,6033596150010001.0,2705 HARTFORD DR STE A,LAKE STEVENS            ,WA,SNOHOMISH,982589204,Adult-Use Retailer,ACTIVE (ISSUED),4253277529,Adult-Use,,,,Cannablyss,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,48.11154089999999,-123.4118187
Cannarail Station,413366,6035548960010001.0,1448 BASIN ST NW SUITE A,EPHRATA                 ,WA,GRANT,988239695,Adult-Use Retailer,ACTIVE (ISSUED),5067541047,Adult-Use,,,,Cannarail Station,WSLCB,Washington State Liquor and Cannabis Board,,,,,,,,,2023-08-08T00:00:00,46.973365,-123.6915344
