license_number,business_dba_name,id,license_type,LicenseStatus,premise_county,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status_date,license_term,issue_date,expiration_date,business_legal_name,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,business_phone,business_website,data_refreshed_date
02685010272987196695,Clear River Llc,02685010272987196695,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-08-10
02916424476864783141,Serenity Wellness Center Llc,02916424476864783141,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SERENITY WELLNESS CENTER LLC,,,,,,,,,2023-08-10
02959703688458604031,Ncmm Llc,02959703688458604031,Retail Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NCMM LLC,,,,,,,,,2023-08-10
03137125388697415604,Green Therapeutics Llc,03137125388697415604,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREEN THERAPEUTICS LLC,,,,,,,,,2023-08-10
03310174034843985324,Floret Nevada Llc,03310174034843985324,Retail Distributor,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FLORET NEVADA LLC,,,,,,,,,2023-08-10
03595374519108477279,Greenpoint Nevada Inc,03595374519108477279,Retail Production,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENPOINT NEVADA INC,,,,,,,,,2023-08-10
03736631201004083296,V6E Holdings Inc,03736631201004083296,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-08-10
03754325902079441647,374 Labs Llc,03754325902079441647,Medical Laboratory,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,374 LABS LLC,,,,,,,,,2023-08-10
04045523128584413069,Mmof Vegas Retail Inc,04045523128584413069,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMOF VEGAS RETAIL INC,,,,,,,,,2023-08-10
04054268305722414317,Cheyenne Medical Elko Rd267 Llc,04054268305722414317,Retail Dispensary,Active,Elko,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL ELKO RD267 LLC,,,,,,,,,2023-08-10
04186481440349513323,Livfree Wellness Llc A Nevada Limited Liability Company,04186481440349513323,Medical Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-08-10
04387494772690441219,Sensible Edibles Llc,04387494772690441219,Medical Production,Non-Operational,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SENSIBLE EDIBLES LLC,,,,,,,,,2023-08-10
04624179906329237338,Acres Dispensary Llc,04624179906329237338,Medical Dispensary,Active,White Pine,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES DISPENSARY LLC,,,,,,,,,2023-08-10
04816345591321160151,Twelve Twelve Llc,04816345591321160151,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TWELVE TWELVE LLC,,,,,,,,,2023-08-10
04850532340024898157,Luff Enterprises Nv Inc,04850532340024898157,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LUFF ENTERPRISES NV INC,,,,,,,,,2023-08-10
05190167691119502478,Mm Development Company Inc,05190167691119502478,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2023-08-10
05301281568195858289,Natures Kindest Llc,05301281568195858289,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURES KINDEST LLC,,,,,,,,,2023-08-10
05344592693159836450,Washoe Dispensary Llc,05344592693159836450,Medical Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WASHOE DISPENSARY LLC,,,,,,,,,2023-08-10
05439548708602328194,Mbnv Gt Llc,05439548708602328194,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MBNV GT LLC,,,,,,,,,2023-08-10
05897059682265869611,Rural Remedies Llc,05897059682265869611,Medical Production,Active,Lander,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,RURAL REMEDIES LLC,,,,,,,,,2023-08-10
05913170220874047306,Euphoria Wellness Llc,05913170220874047306,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,EUPHORIA WELLNESS LLC,,,,,,,,,2023-08-10
06073658143877524618,Greenmart Of Nevada Llc,06073658143877524618,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA LLC,,,,,,,,,2023-08-10
06113068616119421027,Wellness Orchards Of Nevada Llc,06113068616119421027,Medical Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WELLNESS ORCHARDS OF NEVADA LLC,,,,,,,,,2023-08-10
06179175334379207017,Pure Tonic Concentrates Llc,06179175334379207017,Medical Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,PURE TONIC CONCENTRATES LLC,,,,,,,,,2023-08-10
06179984770837282920,Silver State Cultivation Llc,06179984770837282920,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE CULTIVATION LLC,,,,,,,,,2023-08-10
06231235891852444163,Emk Hydrogarden Llc,06231235891852444163,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,EMK HYDROGARDEN LLC,,,,,,,,,2023-08-10
06347213896566425206,Integral Associates Llc,06347213896566425206,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,INTEGRAL ASSOCIATES LLC,,,,,,,,,2023-08-10
06631653288563505740,800 Stillwell Llc,06631653288563505740,Medical Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,800 STILLWELL LLC,,,,,,,,,2023-08-10
06856901757246284891,V6E Holdings Inc,06856901757246284891,Retail Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,V6E HOLDINGS INC,,,,,,,,,2023-08-10
06883809308574997017,Ftlb Llc,06883809308574997017,Medical Production,Active,Esmeralda,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FTLB LLC,,,,,,,,,2023-08-10
07154062603138326198,Healthcare Options For Patients Enterprises Llc,07154062603138326198,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HEALTHCARE OPTIONS FOR PATIENTS ENTERPRISES LLC,,,,,,,,,2023-08-10
07214141470882695436,Lvig Holdings Llc,07214141470882695436,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVIG HOLDINGS LLC,,,,,,,,,2023-08-10
07614508649058338463,Greenleaf Production Inc,07614508649058338463,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF PRODUCTION INC,,,,,,,,,2023-08-10
07617999699850287687,Carson City Agency Solutions Llc,07617999699850287687,Retail Distributor,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CARSON CITY AGENCY SOLUTIONS LLC,,,,,,,,,2023-08-10
07640679102865450621,Bayou Buds Llc,07640679102865450621,Medical Cultivation,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,BAYOU BUDS LLC,,,,,,,,,2023-08-10
07716430045859597948,Clear River Llc,07716430045859597948,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-08-10
07793712489874595708,Mj Distributing P133 Llc,07793712489874595708,Retail Production,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P133 LLC,,,,,,,,,2023-08-10
07912568590104527553,Mmnv2 Holdings I Llc,07912568590104527553,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MMNV2 HOLDINGS I LLC,,,,,,,,,2023-08-10
08162604527632298682,Csnlv Llc,08162604527632298682,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CSNLV LLC,,,,,,,,,2023-08-10
08300436904530710396,Nv Green Inc,08300436904530710396,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV GREEN INC,,,,,,,,,2023-08-10
08397135597394271337,West118 Investments Llc,08397135597394271337,Medical Production,Active,Lyon,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WEST118 INVESTMENTS LLC,,,,,,,,,2023-08-10
08487688474890863372,Wscc Inc,08487688474890863372,Retail Dispensary,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-08-10
08542800532746610043,Ssac Corporation,08542800532746610043,Retail Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC CORPORATION,,,,,,,,,2023-08-10
08705048067480042809,Mj Distributing P133 Llc,08705048067480042809,Medical Production,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MJ DISTRIBUTING P133 LLC,,,,,,,,,2023-08-10
08792343110299625005,Livfree Wellness Llc A Nevada Limited Liability Company,08792343110299625005,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-08-10
09127772901374202190,Nuleaf Sparks Cultivation Llc,09127772901374202190,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NULEAF SPARKS CULTIVATION LLC,,,,,,,,,2023-08-10
09187693713312678064,Dec Ops Nv Llc,09187693713312678064,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DEC OPS NV LLC,,,,,,,,,2023-08-10
09259278323384314999,Greenleaf Enterprises Inc,09259278323384314999,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF ENTERPRISES INC,,,,,,,,,2023-08-10
09271842370730937488,Essence Henderson Llc,09271842370730937488,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE HENDERSON LLC,,,,,,,,,2023-08-10
09485024341050013930,Rombough Real Estate Inc,09485024341050013930,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ROMBOUGH REAL ESTATE INC,,,,,,,,,2023-08-10
09514149227211118967,Desert Aire Wellness Llc,09514149227211118967,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DESERT AIRE WELLNESS LLC,,,,,,,,,2023-08-10
10157851668078035933,High Sierra Holistics Llc,10157851668078035933,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,HIGH SIERRA HOLISTICS LLC,,,,,,,,,2023-08-10
10197329605365016654,Integral Associates Llc,10197329605365016654,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,INTEGRAL ASSOCIATES LLC,,,,,,,,,2023-08-10
10204272765771786596,Greenway Health Community Llc,10204272765771786596,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENWAY HEALTH COMMUNITY LLC,,,,,,,,,2023-08-10
10340862547948454764,Naturex Llc,10340862547948454764,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATUREX LLC,,,,,,,,,2023-08-10
10390116224938552959,Unifern Llc,10390116224938552959,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-08-10
10434823336431109693,Cheyenne Medical Llc,10434823336431109693,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CHEYENNE MEDICAL LLC,,,,,,,,,2023-08-10
10562198318597452248,Wscc Inc,10562198318597452248,Retail Distributor,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,WSCC INC,,,,,,,,,2023-08-10
10749329530975088571,Cr/P Las Vegas Llc,10749329530975088571,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CR/P LAS VEGAS LLC,,,,,,,,,2023-08-10
10899841596112495650,Mm R & D Llc,10899841596112495650,Medical Dispensary,Active,Churchill,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM R & D LLC,,,,,,,,,2023-08-10
10982097214978528659,Cn Licensco Iii Inc,10982097214978528659,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CN LICENSCO III INC,,,,,,,,,2023-08-10
11023162879454781073,Unifern Llc,11023162879454781073,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,UNIFERN LLC,,,,,,,,,2023-08-10
11058209030610809158,Acres Medical Llc,11058209030610809158,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ACRES MEDICAL LLC,,,,,,,,,2023-08-10
11272007909136750453,Nye Farm Tech Ltd,11272007909136750453,Retail Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE FARM TECH LTD,,,,,,,,,2023-08-10
11443721033142554219,Silver State Relief Llc,11443721033142554219,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SILVER STATE RELIEF LLC,,,,,,,,,2023-08-10
11503683259497115257,Franklin Bioscience Nv Llc,11503683259497115257,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,FRANKLIN BIOSCIENCE NV LLC,,,,,,,,,2023-08-10
11579180192771873986,Lvop Holdings Llc,11579180192771873986,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVOP HOLDINGS LLC,,,,,,,,,2023-08-10
11679863451946958412,Greenmart Of Nevada Nlv Llc,11679863451946958412,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENMART OF NEVADA NLV LLC,,,,,,,,,2023-08-10
11743039826058438262,Mbnv Investments Llc,11743039826058438262,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MBNV INVESTMENTS LLC,,,,,,,,,2023-08-10
12078072637090304628,Tahoe-Reno Extractions Llc,12078072637090304628,Medical Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE-RENO EXTRACTIONS LLC,,,,,,,,,2023-08-10
12860017177223316229,Gb Sciences Nevada Llc,12860017177223316229,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GB SCIENCES NEVADA LLC,,,,,,,,,2023-08-10
13109494552101077982,Natural Medicine Llc,13109494552101077982,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NATURAL MEDICINE LLC,,,,,,,,,2023-08-10
13244303247046007918,Lemon Aide Llc,13244303247046007918,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LEMON AIDE LLC,,,,,,,,,2023-08-10
13351121953140240442,Mm Development Company Inc,13351121953140240442,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,MM DEVELOPMENT COMPANY INC,,,,,,,,,2023-08-10
13780932467124103722,Tgig Llc,13780932467124103722,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2023-08-10
13858476118270787452,Urban Hills Llc,13858476118270787452,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,URBAN HILLS LLC,,,,,,,,,2023-08-10
13932286413907255774,Nevada Organic Remedies Llc,13932286413907255774,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA ORGANIC REMEDIES LLC,,,,,,,,,2023-08-10
14023272993797946504,Lone Mountain Partners Llc,14023272993797946504,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LONE MOUNTAIN PARTNERS LLC,,,,,,,,,2023-08-10
14098201691938701085,Nv 3480 Partners Llc,14098201691938701085,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NV 3480 PARTNERS LLC,,,,,,,,,2023-08-10
14194022211467850983,Commerce Park Medical Cactus Rd329 Llc,14194022211467850983,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,COMMERCE PARK MEDICAL CACTUS RD329 LLC,,,,,,,,,2023-08-10
14387723470413703993,Gravitas Nevada Ltd,14387723470413703993,Retail Distributor,Non-Operational,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GRAVITAS NEVADA LTD,,,,,,,,,2023-08-10
14394207930615021142,Nevada Pure Llc,14394207930615021142,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NEVADA PURE LLC,,,,,,,,,2023-08-10
14501073281263752947,Cclv Manufacturing Center Llc,14501073281263752947,Retail Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CCLV MANUFACTURING CENTER LLC,,,,,,,,,2023-08-10
14504799651148975256,Livfree Wellness Llc A Nevada Limited Liability Company,14504799651148975256,Retail Distributor,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LIVFREE WELLNESS LLC A NEVADA LIMITED LIABILITY COMPANY,,,,,,,,,2023-08-10
14809817671653404105,Nye Farm Tech Ltd,14809817671653404105,Medical Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NYE FARM TECH LTD,,,,,,,,,2023-08-10
14864731709040080608,Tryke Companies Reno Llc,14864731709040080608,Retail Dispensary,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TRYKE COMPANIES RENO LLC,,,,,,,,,2023-08-10
14978597976174950388,Kayas Kitchen Llc,14978597976174950388,Medical Production,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,KAYAS KITCHEN LLC,,,,,,,,,2023-08-10
15066280419696569275,Tahoe Hydroponics Company Llc,15066280419696569275,Retail Cultivation,Active,Carson City,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TAHOE HYDROPONICS COMPANY LLC,,,,,,,,,2023-08-10
15398675340409721326,Div Holdings Llc,15398675340409721326,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,DIV HOLDINGS LLC,,,,,,,,,2023-08-10
15464995890053145809,Essence Tropicana Llc,15464995890053145809,Retail Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,ESSENCE TROPICANA LLC,,,,,,,,,2023-08-10
15500198984289437898,H & K Growers Corp,15500198984289437898,Medical Cultivation,Active,Elko,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,H & K GROWERS CORP,,,,,,,,,2023-08-10
15555721623971178599,Lvop Holdings Llc,15555721623971178599,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVOP HOLDINGS LLC,,,,,,,,,2023-08-10
15653865226040172005,Clear River Llc,15653865226040172005,Medical Dispensary,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,CLEAR RIVER LLC,,,,,,,,,2023-08-10
15677890458261123314,Nuleaf Sparks Cultivation Llc,15677890458261123314,Medical Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NULEAF SPARKS CULTIVATION LLC,,,,,,,,,2023-08-10
15683084663955616276,Qualcan Llc,15683084663955616276,Retail Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,QUALCAN LLC,,,,,,,,,2023-08-10
15746787020481348783,Tgig Llc,15746787020481348783,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,TGIG LLC,,,,,,,,,2023-08-10
16124351110339961847,Greenleaf Enterprises Inc,16124351110339961847,Retail Distributor,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GREENLEAF ENTERPRISES INC,,,,,,,,,2023-08-10
16492437939011745857,Gravitas Nevada Ltd,16492437939011745857,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,GRAVITAS NEVADA LTD,,,,,,,,,2023-08-10
17022702465294402258,Ncmm Llc,17022702465294402258,Medical Cultivation,Active,Nye,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,NCMM LLC,,,,,,,,,2023-08-10
17119152726833043718,3480 Hacienda Partners Llc,17119152726833043718,Medical Production,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,3480 HACIENDA PARTNERS LLC,,,,,,,,,2023-08-10
17195315836376427127,Lvig Holdings Llc,17195315836376427127,Medical Cultivation,Active,Clark,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,LVIG HOLDINGS LLC,,,,,,,,,2023-08-10
17334914845519714402,Ssac Corporation,17334914845519714402,Retail Cultivation,Active,Washoe,NVCCB,Nevada Cannabis Compliance Board,Adult-Use,NV,,,,,SSAC CORPORATION,,,,,,,,,2023-08-10
