business_dba_name,premise_street_address,premise_city,premise_state,premise_zip_code,premise_county,business_phone,license_type,business_website,premise_longitude,premise_latitude,business_legal_name,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,business_image_url,id,license_number,license_status,data_refreshed_date
"Cannabist, The",1062 North Delsea Drive,Vineland,NJ,08360,Cumberland,(856) 213-9445,Medicinal and Recreational,https://col-care.com/location/vineland/,-75.041869,39.502548,"Cannabist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
"Cannabist, The",1692 Clements Bridge Rd,Deptford,NJ,08096,Gloucester,(856) 322-2829,Medicinal and Recreational,https://gocannabist.com/location/deptford/,-75.101788,39.832875,"Cannabist, The",NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Curaleaf,640 Creek Road,Bellmawr,NJ,08031,Camden,(856) 933-8700,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bellmawr?,-75.103077,39.865436,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Curaleaf,191 Rte 130,Bordentown,NJ,08505,Burlington,(609) 400-2455,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-bordentown?,-74.700642,40.148734,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Curaleaf,4237 Us-130 South,Edgewater Park,NJ,08010,Burlington,(609) 232-7681,Medicinal and Recreational,https://curaleaf.com/shop/new-jersey/curaleaf-nj-edgewater-park?,-74.912595,40.040754,Curaleaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Earth & Ivy,355 George Street,New Brunswick,NJ,08901,Middlesex,(732) 317-2992,Recreational cannabis only,http://earthandivy.co/,-74.44354297299998,40.494784983000045,Earth & Ivy,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Harmony Dispensary,"600 Meadowlands Parkway, Suite 15",Secaucus,NJ,07094,Hudson,(201) 356-7268,Medicinal and Recreational,https://www.harmonydispensary.org/,-74.086556,40.77525,Harmony Dispensary,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Holistic Solutions LLC,451 White Horse Pike,Atco,NJ,08004,Camden,(856) 270-7067,Medicinal and Recreational,https://myholisticsolutions.com/,-74.89106,39.76417,Holistic Solutions LLC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Kind Kush,279 Us-46,Rockaway,NJ,07866,Morris,(973) 586-9333,Recreational Cannabis only,https://kindkushdispensary.com/,-74.520462022,40.892892988,Kind Kush,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Mountain View Farmacy,74 Oak Ridge Road,West Milford,NJ,07438,Passaic,(973) 319-6420,Recreational Cannabis only,http://www.mvf.earth/,-74.463676975,41.051790989,Mountain View Farmacy,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
MPX NJ,153 S. New York Avenue,Atlantic City,NJ,08401,Atlantic,(609) 616-7770,Medicinal and Recreational,http://mpxnj.com,-74.427559,39.358975,MPX NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
MPX NJ,581 Berlin-Cross Keys Road,Sicklerville,NJ,08081,Gloucester,(848) 292-2764,Medicinal and Recreational,https://mpxnj.com/gloucester-township/,-75.00166573099995,39.73838802000006,MPX NJ,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
NJ Leaf,546 Park Avenue,Freehold,NJ,07728,Monmouth,(732) 204-7172,Medicinal and Recreational,https://njleaf.com/,-74.27265,40.25003,NJ Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Nova Farms,642 Mantua Avenue,Woodbury,NJ,08096,Gloucester,(856) 202-7273,Recreational cannabis only,http://www.novafarms.com/,-75.15974902999994,39.826307375000056,Nova Farms,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
RISE,196 3Rd Avenue #3-C,Paterson,NJ,07514,Passaic,(973) 440-2717,Medicinal and Recreational,https://risecannabis.com/dispensaries/new-jersey/paterson/,-74.141912,40.936401,RISE,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,07003,Essex,(973) 327-3442,Medicinal and Recreational,https://risecannabis.com/dispensaries/new-jersey/bloomfield/,-74.186788,40.77544,RISE,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Sweet Spot,"903 White Horse Road, Suite 2",Voorhees,NJ,08043,Camden,(856) 882-3481,Medicinal and Recreational,https://sweetspotfarms.com/store/nj001,-74.98935,39.84754,Sweet Spot,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
The Social Leaf,334 Atlantic City Boulevard,South Toms River,NJ,08757,Ocean,(732) 358-6800,Recreational cannabis only,https://thesocialleaf.com/,-74.194283301,39.944184238,The Social Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Union Chill,"204 N Union St, #108",Lambertville,NJ,08530,Hunterdon,(609) 483-2350,Recreational cannabis only,https://unionchillco.com/,-74.94738897999997,40.374054983000065,Union Chill,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Valley Wellness LLC,407 Us-202,Raritan,NJ,08869,Somerset,(908) 429-6680,Medicinal and Recreational,https://valleywellnessnj.com/,-74.63534,40.5741,Valley Wellness LLC,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Zen Leaf,117 Spring Street,Elizabeth,NJ,07201,Union,(908) 676-5936,Medicinal and Recreational,https://zenleafdispensaries.com/locations/elizabeth/,-74.206087,40.6636,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Zen Leaf,3256 Brunswick Pike,Lawrence Twp.,NJ,08648,Mercer,(609) 212-4351,Medicinal and Recreational,https://zenleafdispensaries.com/locations/lawrence/,-74.687318,40.290606,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
Zen Leaf,2100 Route 66,Neptune,NJ,07753,Monmouth,(732) 860-1492,Medicinal and Recreational,https://zenleafdispensaries.com/locations/neptune/,-74.040076,40.226356,Zen Leaf,NJCRC,New Jersey Cannabis Regulatory Commission,Adult-Use,,,,,,,,,,,,,,2023-08-13T15:41:40.248839
