business_email,business_legal_name,business_phone,county,data_refreshed_date,license_number,premise_state,activity,analyses,business_dba_name,business_image_url,business_structure,expiration_date,id,issue_date,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_street_address
"kris@adirondackadvantage.co
m","Adirondack Advantage, LLC*",1 (518) 812-1907,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000210,NY,,,,,,,,,,,,,,,,,,,
michael.montas@yahoo.com,"Summit Canna, LLC*",1 (646) 842-7544,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000221,NY,,,,,,,,,,,,,,,,,,,
jorge@vsllplaw.com,"The Island’s Cannabis Dispensary,
LLC*",1 (212) 752-8408,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000225,NY,,,,,,,,,,,,,,,,,,,
astokes175@yahoo.com,"Cannabis Culture 1, LLC*",1 (917) 459-1791,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000229,NY,,,,,,,,,,,,,,,,,,,
flowerpowernyc1@gmail.com,Flower Power NYC Corp.*,1 (347) 706-9426,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000241,NY,,,,,,,,,,,,,,,,,,,
"eruditoherbals@protonmail.co
m","ERUDITOHERBALS, LLC*",1 (212) 923-0088,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000248,NY,,,,,,,,,,,,,,,,,,,
"aaron_van_camp@outlook.co
m",Aaron Van Camp*,1 (716) 430-0447,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000251,NY,,,,,,,,,,,,,,,,,,,
chaplinzm@yahoo.com,Zaquia Chaplin*,1 (516) 949-9460,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000255,NY,,,,,,,,,,,,,,,,,,,
eastleafbuffalo@gmail.com,AMSM LLC*,1 (716) 560-6686,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000257,NY,,,,,,,,,,,,,,,,,,,
docdmt@aol.com,"AQR Development Funding, LLC*",1 (631) 513-9836,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000258,NY,,,,,,,,,,,,,,,,,,,
adrake913@gmail.com,Adam S. Drake*,1 (516) 637-8431,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000261,NY,,,,,,,,,,,,,,,,,,,
SoodaksInc@gmail.com,"Soodaks, Inc.*",1 (212) 203-5381,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000266,NY,,,,,,,,,,,,,,,,,,,
beeduangtavilay@yahoo.com,"Flower City Shop, LLC*",1 (585) 766-8384,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000269,NY,,,,,,,,,,,,,,,,,,,
elijahgrey@gmail.com,Holly R. King*,1 (518) 222-5099,Capital Region,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000273,NY,,,,,,,,,,,,,,,,,,,
licensing@jamesfrm.com,"Smoking Scholars, LLC*",1 (516) 858-5887,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000277,NY,,,,,,,,,,,,,,,,,,,
elvin@castlehillbsi.com,ZIL ZAL Inc.*,1 (718) 829-3655,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000295,NY,,,,,,,,,,,,,,,,,,,
antmarce@aol.com,"Amsterdam Cannabis, Inc.*",1 (518) 774-8764,Mohawk Valley,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000300,NY,,,,,,,,,,,,,,,,,,,
ben@cw.legal,"High Path Wellness, LLC*",1 (914) 967-2753,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000323,NY,,,,,,,,,,,,,,,,,,,
beau@thehiveclubnyc.com,"Mighty Lucky, LLC*",1 (646) 232-5206,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000329,NY,,,,,,,,,,,,,,,,,,,
nelsonskickz@gmail.com,"Nelsonkickz, LLC*",1 (518) 807-5350,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000331,NY,,,,,,,,,,,,,,,,,,,
MishaMB@Gmail.com,Evija Artworks Inc.*,1 (718) 514-3516,Brooklyn,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000332,NY,,,,,,,,,,,,,,,,,,,
akapoor@kapoorfirm.com,Sherwood R. Adams*,1 (516) 307-8380,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000349,NY,,,,,,,,,,,,,,,,,,,
johnsrufino@gmail.com,Level Up NYC Corp.*,1 (518) 331-5948,Brooklyn,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000363,NY,,,,,,,,,,,,,,,,,,,
organicreliefleaf@gmail.com,"Organic Relief Leaf, LLC*",1 (718) 290-3020,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000377,NY,,,,,,,,,,,,,,,,,,,
jaybuddyllc@gmail.com,"Jay Buddy, LLC*",1 (347) 360-5333,Mid-Hudson,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000384,NY,,,,,,,,,,,,,,,,,,,
christopher.t.concannon@gmai,"Terrapin Greens 4-7, Inc.*",1 (917) 374-0020,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000393,NY,,,,,,,,,,,,,,,,,,,
"bigflavorentertainment@gmail.
com",Bigflavor Entertainment Corp.*,1 (917) 530-4504,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000398,NY,,,,,,,,,,,,,,,,,,,
mottznyc@gmail.com,"Mottz Only Authentic New York
Style, LLC*",1 (516) 591-4112,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000400,NY,,,,,,,,,,,,,,,,,,,
jielin1417@yahoo.com,CANNADREAMS Inc.*,1 (917) 721-1821,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000407,NY,,,,,,,,,,,,,,,,,,,
Zootiesworld@gmail.com,Jonathan Gibbs (dba ZOOTIES)*,1 (631) 281-3582,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000411,NY,,,,,,,,,,,,,,,,,,,
donresourcesllc@gmail.com,"Don Resources Unlimited, LLC*",1 (646) 345-1388,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000431,NY,,,,,,,,,,,,,,,,,,,
Bestsala@icloud.com,Best Sala*,1 (718) 799-2203,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000433,NY,,,,,,,,,,,,,,,,,,,
Carrelfignole25@gmail.com,"Fignolecar, LLC*",1 (917) 569-0847,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000443,NY,,,,,,,,,,,,,,,,,,,
mrgiancarlopinto@gmail.com,"BudBiz, LLC*",1 (646) 210-1027,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000445,NY,,,,,,,,,,,,,,,,,,,
dan@redemptive.nyc,Actualize*,1 (631) 300-7456,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000453,NY,,,,,,,,,,,,,,,,,,,
jameskelley146@gmail.com,"Euphoria Dispensary of New York,
LLC*",1 (347) 882-8699,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000454,NY,,,,,,,,,,,,,,,,,,,
jjohnson@pryorcashman.com,"Gotham Buds, LLC*",1 (212) 421-4100,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000455,NY,,,,,,,,,,,,,,,,,,,
Mogert1234@gmail.com,"NugHub NY, LLC*",1 (917) 751-4154,Richmond,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000464,NY,,,,,,,,,,,,,,,,,,,
Blaze420LLC@gmail.com,"Blaze 420, LLC*",1 (845) 461-5905,Mid-Hudson,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000479,NY,,,,,,,,,,,,,,,,,,,
,"Bodega Dreams, LLC*",,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000483,NY,,,,,,,,,,,,,,,,,,,
delau46@yahoo.com,"Royal Blend Dispensary, LLC*",1 (914) 330-0154,Mid-Hudson,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000491,NY,,,,,,,,,,,,,,,,,,,
asick@mrcannabislaw.com,"Green Jungle, Inc.*",1 (908) 399-5947,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000504,NY,,,,,,,,,,,,,,,,,,,
simojb66@gmail.com,Joseph B. Simons*,1 (617) 292-6260,Central NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000514,NY,,,,,,,,,,,,,,,,,,,
enoboa8121@hotmail.com,"Buddega NYC, LLC*",1 (914) 619-1155,Mid-Hudson,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000516,NY,,,,,,,,,,,,,,,,,,,
retailunitedalliance@gmail.com,"Retail United Alliance, LLC*",1 (518) 901-9201,Mid-Hudson,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000517,NY,,,,,,,,,,,,,,,,,,,
rodney.carter@live.com,"Boxing Express, LLC*",1 (646) 221-8815,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000541,NY,,,,,,,,,,,,,,,,,,,
lakishaisaac@gmail.com,"The Gold Source, Inc.*",1 (516) 369-7415,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000544,NY,,,,,,,,,,,,,,,,,,,
licensing@jamesfrm.com,APF Syndicate Corporation*,1 (516) 858-5887,Manhattan,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000546,NY,,,,,,,,,,,,,,,,,,,
Anand.a811@gmail.com,Neo Wellness LLC*,1 (516) 665-5105,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000550,NY,,,,,,,,,,,,,,,,,,,
joew@straightlineat.com,Premier Earth Corp.*,1 (716) 908-4922,Western NY,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000551,NY,,,,,,,,,,,,,,,,,,,
townsend11212@gmail.com,"North Country Cannabis, LLC*",1 (518) 572-6800,North Country,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000557,NY,,,,,,,,,,,,,,,,,,,
ben@allsafeli.com,"All Safe Electric & Security, LLC*",1 (631) 872-7308,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000559,NY,,,,,,,,,,,,,,,,,,,
hectorecheverri75@gmail.com,Clemencia E Meza*,1 (347) 607-4873,Queens,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000561,NY,,,,,,,,,,,,,,,,,,,
dralbi26@gmail.com,"AFLI, LLC*",1 (516) 804-0674,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000597,NY,,,,,,,,,,,,,,,,,,,
johntaeha@gmail.com,"Green Empire Wellness, LLC*",1 (917) 514-9116,Richmond,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000612,NY,,,,,,,,,,,,,,,,,,,
kintechvac@gmail.com,"Kintech Heating and Cooling, Inc.*",1 (631) 496-6646,Long Island,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000639,NY,,,,,,,,,,,,,,,,,,,
inquiries@freshlybaked.nyc,Freshly Baked NYC,1 (415) 691-7696,Bronx,2023-09-20T07:12:07.681349,OCM-CAURD-2022-000652,NY,,,,,,,,,,,,,,,,,,,
