license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License Number,Address,Zipcode,Microbials,Mycotoxins,Residual Solvents,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
403-01464,BIG MOUNTAIN ORGANICS LLC,BIG MEDICINE CANNABISSARY,2909 North El Paso Street,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01464,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01638,ZIPZ LLC,zipz,3745 Interpark Drive,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01638,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00696,LIVWELL XIII LLC,LivWell,3880 North Holly Street,Denver,80207,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00696,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01486,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,1075 South Jason Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01486,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01773,EJB VENTURES LLC,HARMONY EXTRACTS,121 North Mariposa Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01773,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01009,RBF CORP,SINGLE SOURCE COLORADO,621 South Jason Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01009,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01815,TESLA LLC,TESLA LLC,4155 North Grape Street,Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01815,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01194,GOLDEN MEDS MERGERCO LLC,Golden Meds,5077 North Colorado Boulevard,Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01194,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01575,H & M ENTERPRISE LLC,Medical Cannabis & Partners,"335 North Circle Drive, Suite 101 & 201",Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01575,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01821,JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,1800 County Road 835C,Florence,81226,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01821,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01667,GARDEN OF THE BUDZ LLC,GARDEN OF THE BUDZ LLC,3178 West Colorado Avenue,Colorado Springs,80904,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01667,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01924,INDY 3 LLC,INDISPENSARY,3111 North Stone Avenue Unit 100,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01924,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01487,CORRIDOR 70 LLC,EverBloom,5110 North Race Street,Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01487,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01685,GT CULTIVATION  LLC,GT CULTIVATION  LLC,"6859 North Foothills Highway, Unit D300",Boulder,80302,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01685,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01472,2222 E BOULDER STREET LLC,HIGHTOPS,2222 East Boulder Street,Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01472,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00727,GREEN MEADOWS DISPENSARY LLC,Green Meadows Dispensary LLC,23360 South Highway 550,Montrose,81403,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00727,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00643,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURES KISS,4332 South Broadway ,Englewood,80113,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00643,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00659,LVJS SERVICES LLC,LVJS SERVICES LLC,327 Karen Lane,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00659,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01968,SMILE HIGH FARMS LLC,SMILE HIGH FARMS LLC,1965 Pope Valley Ranch Road,Pueblo,81005,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01968,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01936,GT CULTIVATION LLC,GT CULTIVATION LLC,"6859 North Foothills Highway, Unit C-100",Boulder,80302,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01936,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00973,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,2805 North Prospect Street,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00973,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01616,MC STRATEGIC VENTURES LLC,Jade Kola,"3758 Astrozon Boulevard, Unit B ",Colorado Springs,80910,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01616,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01935,MCCANBIZ LLC,HUMBLE FARMS,8552 Maverick Lane ,Ordway,81063,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01935,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00407,CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,4349 East Platte Avenue,Colorado Springs,80915,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00407,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01467,CC AG LLC,Black and White Cannabis,2211 East Boulder Street,Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01467,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00079,KEVCO SERVICES INC,KEVCO SERVICES INC,3228 North Nevada Avenue,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00079,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01975,MRW COLORADO LLC,MRW COLORADO LLC,0929 F County Road 215,Parachute,81635,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01975,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00856,SUNRISE SOLUTIONS,SUNRISE SOLUTIONS,43 Main Street,Bailey,80421,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00856,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01814,TESLA LLC,TESLA LLC,"5200 East Smith Road, Suite 140",Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01814,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01649,SDJ LLC,WP Nation,212 South 21st Street,Colorado Springs,80904,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01649,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00344,GP CANNABIS COMPANY LLC,Grant Pharms Cannabis Co,2607 Durango Drive,Colorado Springs,80910,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00344,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00349,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,"3425 Van Teylingen Drive, Suites D & E",Colorado Springs,80917,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00349,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01079,CONCENTRATE LLC,WOLF PAC CANNABIS,2323 South Lipan Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01079,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01080,DOCTORS ORDERS LLC,Doctors Orders,1395 South Acoma Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01080,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01810,MEDPHARM HOLDINGS LLC,Bud & Mary's Cannabis,3855 North Quentin Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01810,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00457,ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,"70 North Broadway, Suite 50",Denver,80203,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00457,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01928,1440 PANDO LLC,HIGHTOPS,1440 Pando Avenue,Colorado Springs,80905,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01928,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01916,MAMMOTH FARMS LLC,MAMMOTH FARMS,50562 County Road U,Saguache,81149,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01916,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00085,NATURES HERBS & WELLNESS CENTER,Natures Herbs & Wellness Center,540 27th Street,Garden City,80631,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00085,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00023,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,231 North Wyandot Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00023,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01870,HEALTHY LEAF LLC,Healthy Leaf,3524 North Tejon Street,Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01870,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01956,FRONT RANGE BOTANICAL LLC,SOUTH PARK FARMA,5715 Fairfax Street Unit B,Commerce City,80022,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01956,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01789,FLATIRON PROPERTIES LTD,FLATIRON PROPERTIES LTD,4725 North Oakland Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01789,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01055,HIGH COLLECTIVE LLC,HIGH COLLECTIVE LLC,4900 North Colorado Boulevard,Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01055,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00640,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,2517 Durango Drive,Colorado Springs,80910,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00640,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00644,PEORIA PARK MANAGEMENT LLC,FLATIRONS CANNABIS COMPANY,4765 North Oakland Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00644,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01766,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,10555 East 45th Avenue,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01766,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01767,TOTAL GREEN LLC,TOTAL GREEN,1105 South Chelton Road,Colorado Springs,80910,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01767,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00070,HOLLISTER & BLACKSMITH INC,Naturaleaf,2611 Durango Drive,Colorado Springs,80910,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00070,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01786,KANOPYA HOLDINGS LLC,Kanopya Springs,2545 - 2547 Platte Place,Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01786,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00631,LITTLE GREEN PHARMACY INC,LITTLE GREEN PHARMACY,4575 North Joliet Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00631,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01294,KIND CARE OF COLORADO LLC,Kind Care of Colorado,6629 South College Avenue,Fort Collins,80525,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01294,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01646,COLORADO BLUEGRASS LLC,juxt.flora,3228 East Platte Avenue,Colorado Springs,80909,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01646,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01469,MJLQ LLC,Green Rino,"5959 East 39th Avenue, Unit 101",Denver,80207,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01469,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00977,OG MEDICINALS LLC,OG MEDICINALS LLC,4995 North Lima Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00977,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00392,DISCOUNT MEDICAL MARIJUANA LLC,High Level Health,5550 Joliet Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00392,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01468,KEENS GREENS EDIBLES LLC,KEENS GREENS EDIBLES LLC,"1015 West Evans Avenue, Unit EB & F",Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01468,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01605,JKC MANUFACTURING LLC,Stratos,73 North Research Drive,Pueblo West,81007,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01605,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00395,TITAN HEALTH LLC,UHerbs,"5959 East 39th Avenue, Unit 102",Denver,80207,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00395,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01655,CHAZ EMMONS LLC,ARTSY CANNABIS CO,"1150 West 5th Avenue, Suite 110",Denver,80204,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01655,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01589,PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,129 East Enterprise Drive,Pueblo West,81007,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01589,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01632,GROW DISPENSARY INC,GROW DISPENSARY INC,67 North Silicon Drive Suites 140 & 150,Pueblo West,81007,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01632,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00244,CORRIDOR 70 LLC,EverBloom,695 Bryant Street,Denver,80204,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00244,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-02016,MORNING SWEETS LLC,MORNING SWEETS,"1496 C Street, 365 15th Street",Penrose,81240,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-02016,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01933,GREEN STREET LLC,GREEN STREET LLC,20319 Tamarack Lane,Ordway,81063,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01933,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01934,GREEN STREET LLC,GREEN STREET LLC,20321 Tamarack Lane,Ordway,81063,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01934,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01539,SILVERPEAK CORP,SILVERPEAK CORP,24530 Highway 82,Basalt,81621,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01539,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01277,BOTANACARE LLC,B GOOD,"11450 Cherokee Street, Units A4, A5, A6, A7",Northglenn,80234,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01277,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01621,EVERGREEN ENTERPRISES LTD,EVERGREEN EXTRACTS,1770 South Acoma Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01621,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01596,HOBBY FARMS LLC,A Cut Above,817 Wooten Road,Colorado Springs,80915,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01596,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01976,BUBBAS KUSH LLC,Kaiser Consulting Services,20064 Tamarack Lane,Ordway,81063,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01976,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01929,BUD FOX ENTERPRISES LLC,BUD FOX ENTERPRISES LLC,"14896 East 38th Avenue, Unit C",Aurora,80011,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01929,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01905,PHYSICIAN PREFERRED PRODUCTS LLC,Doc's Apothecary,4080 North Globeville Road,Denver,80216,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01905,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00748,BOULDER MJH LLC,BOULDER MJH LLC,"6390 Gunpark Drive, Unit E",Boulder,80301,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00748,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00258,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,"5475 North Peoria Street, Building 1, Units 104-112",Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00258,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01120,HOG LEG FARM LLC,HOG LEG FARM LLC,803 South Jason Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01120,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01358,KIND LOVE LLC,Kind Love,4890 North Joliet Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01358,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01927,NOMADIC LLC,Lazercat,8620 Colorado 103,Idaho Springs,80452,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01927,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01485,BK HOLDINGS LLC,BK HOLDINGS LLC,12005 East 37th Avenue,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01485,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00469,HEALING HOUSE LAKEWOOD LLC,Ascend Cannabis Co.,10712 West Alameda Avenue,Lakewood,80226,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00469,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01474,YETI FARMS LLC,Yeti Farms LLC,1650 Siloam Road,Pueblo,81005,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01474,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01840,1-11 LLC,1:11,54414 County Road F,Center,81125,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01840,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-02085,ELEVATE & BLOOM LLC,ELEVATE & BLOOM LLC,19723 Tamarack Lane,Ordway,81063,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-02085,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01339,GAS AND GRASS LLC,Rollup,"62 Mount View Lane, Units D & E",Colorado Springs,80907,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01339,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01746,SOUTHERN COLORADO CANNABIS CLUB LLC,SOUTHERN COLORADO CANNABIS CLUB LLC,503 6th Street,Blanca,81123,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01746,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01345,CANNACURA LLC,Vital Cannabis,1675 Jet Wing Drive,Colorado Springs,80916,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01345,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01538,NATURES HERBS & WELLNESS CENTER II LLC,NATURES HERBS & WELLNESS CENTER II LLC,17224 North Frontage Road,Log Lane Village,80705,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01538,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01484,BK HOLDINGS LLC,BK HOLDINGS LLC,12001 East 37th Avenue,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01484,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01368,NATTY REMS LLC,Natty Rems,4675 North Kingston Street,Denver,80239,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01368,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-00849,GREEN MEDICINE LLC,Green Medicine Wellness,2187 10th Street South,Rifle,81650,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-00849,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
403-01509,WELLNESS CENTER OF THE ROCKIES INC,The Center,2130 South Lipan Street,Denver,80223,2023-09-01,Cultivations,Adult-Use,,,,,,,,403-01509,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
