business_legal_name,license_type,license_status,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_city,premise_zip_code
SANDIA SONS LLC,Cannabis Retailer,Active,CCD-2022-0209-001,3/26/2022,3/26/2024,"Pierre Amestoy, Adam Amestoy",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0209-001,SANDIA SONS LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Sky View Cannabis LLC,Cannabis Retailer,Active,CCD-2022-0654-001,7/27/2022,7/27/2023,"Esteban Burciaga Tena, Cristobal Burciaga, Guadalupe Tena",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0654-001,Sky View Cannabis LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Picuris Smokes,Cannabis Retailer,Active,CCD-2022-0694-001,8/3/2022,8/3/2023,Craig Quanchello,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0694-001,Picuris Smokes,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Madrid Cannabis, Inc.",Cannabis Retailer,Active,Premises License,3/19/2022,3/19/2024,Mary Melinda Bonewell,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Madrid Cannabis, Inc.",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
High Ways NM LLC,Cannabis Retailer,Active,Premises License,1/24/2022,1/24/2024,Dustin Kemp,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Ways NM LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Stephen Lin hayden,Cannabis Retailer,Active,CCD-2021-0039-001,12/17/2021,12/17/2024,Stephen Hayden,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2021-0039-001,Stephen Lin hayden,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
GreenGo NM,Cannabis Retailer,Active,Premises License,3/16/2022,3/16/2024,NORA LANCASTER,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,GreenGo NM,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Green Minded Holdings LLC,Cannabis Retailer,Active,CCD-2022-0030-001,1/18/2022,1/18/2024,"Colin Hood, Bailey Huffmon",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0030-001,Green Minded Holdings LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Cloud 9 Zendustries,Cannabis Retailer,Active,CCD-2022-0014-001,1/11/2022,1/11/2024,"Andrew Dodson, Glenn Trahan",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0014-001,Cloud 9 Zendustries,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Pecos Oasis, LLC",Cannabis Retailer,Active,Premises License,1/25/2022,1/25/2024,"Ron Head, Ron Head, Ron Head, Catherine Head, Peggy George, Donald George, Ronald Head",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Pecos Oasis, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
KUSHOLOGY 101,Cannabis Retailer,Active,CCD-2022-0054-001,2/3/2022,2/3/2024,"JIMMY NEVAREZ, JULIAN NEVAREZ, ANDREW BARBER, PETER BARBER, JOHN BARBER JR",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0054-001,KUSHOLOGY 101,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"HoneyBudz, LLC",Cannabis Retailer,Active,CCD-2022-0180-001,3/23/2022,3/23/2024,"Elisa Truelove, Isaac Truelove, Christian Truelove",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0180-001,"HoneyBudz, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
CannaBliss,Cannabis Retailer,Active,CCD-2022-0586-001,7/6/2022,7/6/2023,Cid Isbell,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0586-001,CannaBliss,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
ST CANAPA LLC,Cannabis Retailer,Active,Premises License,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,ST CANAPA LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
ST CANAPA LLC,Cannabis Retailer,Active,CCD-2022-0105-002,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0105-002,ST CANAPA LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
ST CANAPA LLC,Cannabis Retailer,Active,CCD-2022-0105-003,3/10/2022,3/10/2024,"Jose Hernandez, Keyvan Parsa",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0105-003,ST CANAPA LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
"Organ Mountain Organix, LLC",Cannabis Retailer,Active,CCD-2022-0199-001,3/26/2022,3/26/2024,"Haily Vaughan, Kayla Martinez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0199-001,"Organ Mountain Organix, LLC",2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Hashtag Cannabis LLC,Cannabis Retailer,Active,CCD-2022-0153-001,3/20/2022,3/20/2024,"Alberto Reyes, Eric Madrid, Isaac Ochoa, Lionel Cerna",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0153-001,Hashtag Cannabis LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
New Air LLC,Cannabis Retailer,Active,CCD-2022-0114-001,3/13/2022,3/13/2024,"Terri Rodriguez, Kelly Dawson, Kelly Dawson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0114-001,New Air LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Sangre De Cristo Retail LLC,Cannabis Retailer,Active,CCD-2022-0231-001,3/31/2022,3/31/2024,"Dillon Gross, Shane Brocchini, Shawn Short",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0231-001,Sangre De Cristo Retail LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
505 Farms ABQ LLC,Cannabis Retailer,Active,Premises License,4/28/2022,4/28/2024,Andre Galarza,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,505 Farms ABQ LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
The Verdes Foundation,Cannabis Retailer,Active,Premises License,9/20/2021,9/20/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,The Verdes Foundation,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Cinder New Mexico LLC,Cannabis Retailer,Active,CCD-2022-0183-001,3/23/2022,3/23/2024,Justin Peterson,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0183-001,Cinder New Mexico LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Cowboy Verde LLC,Cannabis Retailer,Active,CCD-2022-0126-001,3/15/2022,3/15/2024,Anthony Torrez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0126-001,Cowboy Verde LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Loves Cannabis,Cannabis Retailer,Active,CCD-2022-0188-001,3/24/2022,3/24/2024,Chonour Varyani,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0188-001,Loves Cannabis,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
OneStopSmokeShopVaper@accessories,Cannabis Retailer,Active,CCD-2022-0208-001,3/26/2022,3/26/2024,Richard Jones,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0208-001,OneStopSmokeShopVaper@accessories,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
505four20,Cannabis Retailer,Active,CCD-2022-0268-001,4/9/2022,4/9/2024,"robert Montoya, John English, Aaron Brown",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0268-001,505four20,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Marcos Antonio Pagan Cartigiano,Cannabis Retailer,Active,CCD-2022-0166-001,3/21/2022,3/21/2024,marcos cartigiano,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0166-001,Marcos Antonio Pagan Cartigiano,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Minerva Canna Group Inc,Cannabis Retailer,Active,Premises License,9/21/2021,9/21/2023,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Minerva Canna Group Inc,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
Under the Sun Organics LLC,Cannabis Retailer,Active,CCD-2022-0358-001,4/26/2022,4/26/2023,"Christopher Doherty, Patrick Paiz",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0358-001,Under the Sun Organics LLC,2023-04-30T10:35:37.349002,35.1184498,-106.6145753,Bernalillo County,3400 Vassar Dr NE,Albuquerque,87107
