business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
Verdiggity Living Organics LLC,"
SCLT0153
",Adult-Use,"Manchester, UK",25,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,53.4807593,-2.2426305,Greater Manchester,"Manchester, UK","Manchester, UK"
King Cola LLC,"
SCLT0161
",Adult-Use,"Williamstown, MA 01267, USA",26,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.7120196,-73.20368979999999,Berkshire County,"Williamstown, MA 01267, USA","Williamstown, MA 01267, USA"
Northern Green,"
SCLT0194
",Adult-Use,"Colchester, UK",27,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.895927,0.8918740000000001,Essex,"Colchester, UK","Colchester, UK"
Grease Line Cannabis,"
SCLT0119
",Adult-Use,VT,28,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.4033164,-72.4134916,Windsor County,Weathersfield,USA
Choice Terp LLC,"
SCLT0113
",Adult-Use,Highgate,29,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.9385149,-73.0454456,Franklin County,Highgate Center,05459
Green River Cannabis Company,"
SCLT0120
",Adult-Use,"Hyde Park, London, UK",30,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.5072682,-0.1657303,Greater London,"Hyde Park, London, UK","Hyde Park, London, UK"
Naked Hemp,"
SCLT0201
",Adult-Use,,31,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Weed Connections,"
SCLT0169
",Adult-Use,"Mendon, MA, USA",32,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.1056525,-71.5522859,Worcester County,"Mendon, MA, USA","Mendon, MA, USA"
OGW Cannabis LLC,"
SCLT0171
",Adult-Use,"Bristol, UK",33,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.454513,-2.58791,Bristol City,"Bristol, UK","Bristol, UK"
Fern's Flowers LLC; Fern's Flowers,"
SCLT0121
",Adult-Use,Cavendish,34,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.3910072,-72.63581340000002,Windsor County,Proctorsville,VT
District 802 LLC,"
SCLT0152
",Adult-Use,VT 05301,35,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
Turkey Hollow Cannabis,"
SCLT0160
",Adult-Use,"3009 Broadway, New York, NY 10027, USA",36,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,40.8095133,-73.96339689999999,New York County,"3009 Broadway, New York, NY 10027, USA","3009 Broadway, New York, NY 10027, USA"
Cann Able Farms LLC,"
SCLT0130
",Adult-Use,VT 05440,37,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.9750541,-73.30022389999999,Grand Isle County,Alburgh,USA
Heady Righton LLC,"
SCLT0143
",Adult-Use,"Charlotte, NC, USA",38,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,35.2270869,-80.8431267,Mecklenburg County,"Charlotte, NC, USA","Charlotte, NC, USA"
Tall Truck,"
SCLT0146
",Adult-Use,Danville,39,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.4078953,-72.2104832,Caledonia County,West Danville,05873
Brown Dog Cannabis,"
SCLT0168
",Adult-Use,"Weybridge, UK",40,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.3716269,-0.457904,Surrey,"Weybridge, UK","Weybridge, UK"
Tunbridge Roots LLC,"
SCLT0182
",Adult-Use,"Royal Tunbridge Wells, Tunbridge Wells, UK",41,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.132377,0.263695,Kent,"Royal Tunbridge Wells, Tunbridge Wells, UK","Royal Tunbridge Wells, Tunbridge Wells, UK"
Four Turtles Farm,"
SCLT0166
",Adult-Use,VT 05602,42,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.26005929999999,-72.5753869,Washington County,Montpelier,USA
Sunny View Farm LLC,"
SCLT0142
",Adult-Use,Jericho,43,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,31.8611058,35.4617583,,Jericho,Jericho
"Apex Arboretum, LLC; dba Green State Dispensary; dba Upstate Elevator Operators","
SCLT0158
",Adult-Use,,44,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Passion Fruit Farms LLC,"
SCLT0216
",Adult-Use,VT,45,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.4904763,-73.1111871,Chittenden County,Essex Junction,USA
VTGRN,"
SCLT0149
",Adult-Use,VT,46,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.2272782,-73.05734269999999,Addison County,Starksboro,USA
TCD Enterprises,"
SCLT0208
",Adult-Use,"Newport, RI, USA",47,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.4901024,-71.3128285,Newport County,"Newport, RI, USA","Newport, RI, USA"
Humble Skunk,"
SCLT0191
",Adult-Use,"Westford, MA 01886, USA",48,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.5792583,-71.4378411,Middlesex County,"Westford, MA 01886, USA","Westford, MA 01886, USA"
Firetower Cannabis LLC,"
SCLT0185
",Adult-Use,,49,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
Monarch Cultivation LLC,"
SCLT0193
",Adult-Use,"East Haven, CT, USA",50,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.2841687,-72.8684565,New Haven County,"East Haven, CT, USA","East Haven, CT, USA"
Sleeper's Garden,"
SCLT0210
",Adult-Use,Jericho,51,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,31.8611058,35.4617583,,Jericho,Jericho
Cloud 9 THC LLC,"
SCLT0203
",Adult-Use,"East Hardwick, Pontefract WF8, UK",52,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,53.6617301,-1.2989609,West Yorkshire,"East Hardwick, Pontefract WF8, UK","East Hardwick, Pontefract WF8, UK"
Kingdom Boyz,"
SCLT0218
",Adult-Use,"W Charleston Blvd, Las Vegas, NV, USA",53,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,36.1591178,-115.2573407,Clark County,"W Charleston Blvd, Las Vegas, NV, USA","W Charleston Blvd, Las Vegas, NV, USA"
VTegridy Farms,"
SCLT0214
",Adult-Use,"Hardwick, MA, USA",54,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.3490548,-72.1986558,Worcester County,"Hardwick, MA, USA","Hardwick, MA, USA"
High Brix Cannabis Vermont,"
SCLT0219
",Adult-Use,"Hyde Park, London, UK",55,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.5072682,-0.1657303,Greater London,"Hyde Park, London, UK","Hyde Park, London, UK"
Hidden Door Cannabis LLC,"
SCLT0211
",Adult-Use,"Castleton, Hope Valley S33, UK",56,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,53.34368139999999,-1.7765105,Derbyshire,"Castleton, Hope Valley S33, UK","Castleton, Hope Valley S33, UK"
802Farmacy LLC,"
SCLT0207
",Adult-Use,"3052 Walden Ave, Depew, NY 14043, USA",57,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.9097292,-78.714281,Erie County,"3052 Walden Ave, Depew, NY 14043, USA","3052 Walden Ave, Depew, NY 14043, USA"
Palm Treez LLC,"
SCLT0217
",Adult-Use,Georgia,58,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.315407,43.35689199999999,,Georgia,Georgia
The Higher Collective,"
SCLT0213
",Adult-Use,"N Middlesex Rd, Middlesex Township, PA 17013, USA",59,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,40.2521717,-77.139805,Cumberland County,"N Middlesex Rd, Middlesex Township, PA 17013, USA","N Middlesex Rd, Middlesex Township, PA 17013, USA"
"High Priestess LLC, High Priestess","
SCLT0224
",Adult-Use,VT 05301,60,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
Mr. Tree,"
SCLT0225
",Adult-Use,VT,61,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.4669941,-73.1709604,Chittenden County,South Burlington,USA
Density,"
SCLT0237
",Adult-Use,"Fairfield, CT, USA",62,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.1408363,-73.2612615,Fairfield County,"Fairfield, CT, USA","Fairfield, CT, USA"
"
Cosmic Giggle Cannabis LLC
",SCLT0236,Adult-Use,"Shelburne, ON L9V, Canada",63,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.07911900000001,-80.2011728,Dufferin County,"Shelburne, ON L9V, Canada","Shelburne, ON L9V, Canada"
"
Wookberry Farm LLC
",SCLT0235,Adult-Use,"Fairfax, VA, USA",64,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,38.84622359999999,-77.30637329999999,,"Fairfax, VA, USA","Fairfax, VA, USA"
"
Greenmont Craft Cannabis Co
",SCLT0233,Adult-Use,Jericho,65,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,31.8611058,35.4617583,,Jericho,Jericho
"
Decibel Forest LLC
",SCLT0243,Adult-Use,"Plymouth, MA, USA",66,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.9584457,-70.6672621,Plymouth County,"Plymouth, MA, USA","Plymouth, MA, USA"
"
Truefella LLC
",SCLT0244,Adult-Use,"1298 Royal Rd, Annville, PA 17003, USA",67,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,40.3158947,-76.50576099999999,Lebanon County,"1298 Royal Rd, Annville, PA 17003, USA","1298 Royal Rd, Annville, PA 17003, USA"
Druid Flowers LLC,"
SCLT0246
",Adult-Use,"St Albans, UK",68,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.752725,-0.339436,Hertfordshire,"St Albans, UK","St Albans, UK"
"
Shamus Farms LLC
",SCLT0251,Adult-Use,Calais,69,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.366446,-72.4299853,Washington County,East Calais,VT
"
Pine Rock LLC
",SCLT0256,Adult-Use,Brighton,70,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.8147712,-71.8803728,Essex County,Island Pond,05846
"
Gnarly Tree Cannabis
",SCLT0257,Adult-Use,"Colchester, UK",71,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.895927,0.8918740000000001,Essex,"Colchester, UK","Colchester, UK"
"
Hornbeam Hill Farm LLC
",SCLT0259,Adult-Use,"Plainfield, IL, USA",72,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.632223,-88.2120315,Will County,"Plainfield, IL, USA","Plainfield, IL, USA"
"
Bel Solas Farm LLC
",SCLT0261,Adult-Use,VT,73,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.8266615,-72.13480969999999,Orleans County,Brownington,USA
J2 Rules LLC,"
SCLT0264
",Adult-Use,"Washington, DC, USA",74,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,38.9071923,-77.0368707,District of Columbia,"Washington, DC, USA","Washington, DC, USA"
"
Green Mountain High Growers
",SCLT0273,Adult-Use,"Pittsford, NY 14534, USA",75,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.0906186,-77.5149969,Monroe County,"Pittsford, NY 14534, USA","Pittsford, NY 14534, USA"
"
510 Roots
",SCLT0222,Adult-Use,VT 05201,76,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8781345,-73.1967741,Bennington County,Bennington,USA
"
Jellymumbler LLC
","
SCLT0289
",Adult-Use,,77,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"
Black Mountain Magic LLC.
","
SCLT0290
",Adult-Use,VT 05301,78,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Bud's Buds LLC
","
SCLT0293
",Adult-Use,"Bridport DT6, UK",79,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,50.7335769,-2.758301,Dorset,"Bridport DT6, UK","Bridport DT6, UK"
"
Happy Harvest Farm L.L.C
","
SCLT0294
",Adult-Use,"Swanton, OH 43558, USA",80,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.5886629,-83.89105339999999,Fulton County,"Swanton, OH 43558, USA","Swanton, OH 43558, USA"
"
Rhize Cannabis Company, LLC
","
SCLT0295
",Adult-Use,"Fairfax, VA, USA",81,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,38.84622359999999,-77.30637329999999,,"Fairfax, VA, USA","Fairfax, VA, USA"
,,Adult-Use,,82,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"
Euphoria Cannabis Products LLC
","
CLTV0055
",Adult-Use,VT,83,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.5101525,-73.0834648,Chittenden County,Essex,USA
"
Grass Queen, Inc.
","
CLTV0066
",Adult-Use,"Plainfield, IL, USA",84,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,41.632223,-88.2120315,Will County,"Plainfield, IL, USA","Plainfield, IL, USA"
"
Bern Living Organics, LLC; Bern Living Organics
","
CLTV0089
",Adult-Use,VT,85,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.2056098,-73.2462341,Addison County,Ferrisburgh,USA
"
NEK Gardens
","
CLTV0095
",Adult-Use,"Danville, CA, USA",86,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,37.8215929,-121.9999606,Contra Costa County,"Danville, CA, USA","Danville, CA, USA"
"
Subterra Cannabis LLC
","
CLTV0093
",Adult-Use,VT 05301,87,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Rainbows End Cannabis  or Rainbows End Cannabis LLC
","
CLTV0102
",Adult-Use,"Westminster, London SW1, UK",88,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.4974948,-0.1356583,Greater London,"Westminster, London SW1, UK","Westminster, London SW1, UK"
"
Giving Tree Cannabis LLC
","
CLTV0104
",Adult-Use,VT,89,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.3465552,-73.177286,Rutland County,Pawlet,USA
"
Green Mountain Cannabis North
","
CLTV0083
",Adult-Use,"St Albans, UK",90,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.752725,-0.339436,Hertfordshire,"St Albans, UK","St Albans, UK"
"
The Flying Cactus
",CLTV0109,Adult-Use,"Fair Haven, NY 13156, USA",91,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.3164558,-76.7021747,Cayuga County,"Fair Haven, NY 13156, USA","Fair Haven, NY 13156, USA"
"
Seven Leaf Genetics
",CLTV0234,Adult-Use,"North Hyde Park, Tampa, FL, USA",92,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,27.9506018,-82.47884189999999,Hillsborough County,"North Hyde Park, Tampa, FL, USA","North Hyde Park, Tampa, FL, USA"
"
Gas Factory LLC, DBA Gas Factory
",CLTV0110,Adult-Use,"Williston, ND 58801, USA",93,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,48.1469683,-103.6179745,Williams County,"Williston, ND 58801, USA","Williston, ND 58801, USA"
"
Tao Labs LTD CO
",CLTV0242,Adult-Use,VT 05301,94,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Apex Cannabis LLC
",CLTV0246,Adult-Use,"Pittsford, NY 14534, USA",95,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,43.0906186,-77.5149969,Monroe County,"Pittsford, NY 14534, USA","Pittsford, NY 14534, USA"
"
Emerald Visions, LLC
","
CLTV0238
",Adult-Use,VT 05440,96,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.9750541,-73.30022389999999,Grand Isle County,Alburgh,USA
,,Adult-Use,,97,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"
Arcadia Cannabis Company LLC
","
CLTV0022
",Adult-Use,"Essex, UK",98,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,51.57424469999999,0.4856781,Essex,"Essex, UK","Essex, UK"
"
Mr. Z Craft Cannabis Inc.
","
CLTV0086
",Adult-Use,VT 05753,99,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.0153371,-73.16734,Addison County,Middlebury,USA
"
DEMETERS DG, LLC
","
CLTV0068
",Adult-Use,VT 05301,100,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"Pinnacle Valley Farms, LLC","
CLTV0077
",Adult-Use,"Randolph, MA 02368, USA",101,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.1619739,-71.042551,Norfolk County,"Randolph, MA 02368, USA","Randolph, MA 02368, USA"
"
ForbinsFinest,LLC
","
CLTV0087
",Adult-Use,,102,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"
The Clean Cannabis Company
","
CLTV0090
",Adult-Use,"Hardwick, MA, USA",103,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,42.3490548,-72.1986558,Worcester County,"Hardwick, MA, USA","Hardwick, MA, USA"
Medi Leaf Farms LLC,CLTV0105,Adult-Use,"Derby, UK",104,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,52.9225301,-1.4746186,Derby,"Derby, UK","Derby, UK"
,,Adult-Use,,105,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
"
Satori Investment Partners VT LLC (d/b/a/ (1) Satori VT and (2) Northeast Processing)
","
CLTV0067
",Adult-Use,VT 05753,106,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,44.0153371,-73.16734,Addison County,Middlebury,USA
Great Brook Homestead,"
SCLT0003
",Adult-Use,,107,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-08-13T15:34:53.223750,,,,,
