business_legal_name,business_dba_name,business_phone,license_status,license_type,premise_street_address,premise_city,premise_zip_code,business_email,business_owner_name,business_structure,business_image_url,business_website,id,licensing_authority_id,licensing_authority,license_designation,license_number,license_status_date,license_term,premise_latitude,premise_longitude,premise_state,issue_date,expiration_date,parcel_number,activity,premise_county,address,details_url,data_refreshed_date
AZ Flower Power LLC,AZ Flower Power LLC,Marijuana Establishment,Not Operating,Marijuana Establishment,7144 E Stetson Dr,Scottsdale,85251,"Email
kevelson@gmail.com",,,,,23,ADHS,Arizona Department of Health Services,,0000148ESTMY68096274,,,33.49965800694174,-111.92751698751353,AZ,4/8/2022,AZ Flower Power LLC,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Az Laboratories, Llc","Az Laboratories, Llc",Marijuana Laboratory,Not Operating,Marijuana Laboratory,7255 S Kyrene Rd,Tempe,85283,,,,,,24,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.35539598174179,-111.94471899976243,AZ,,"Az Laboratories, Llc",,,Maricopa County,,,2023-08-13T12:34:02.093791
AZCL1,AZC1,619-869-5090,Operating,Marijuana Establishment,4695 N Oracle Rd Ste 117,Tucson,85705,"Email
azc11@curaleaf.com",,,,,25,ADHS,Arizona Department of Health Services,Retail - Sell,00000054ESDU93884651,,,32.29218627944517,-110.97876165921261,AZ,8/8/2022,Rainbow Collective Inc,,,Pima County,,,2023-08-13T12:34:02.093791
"AZGM 3, LLC",Zen Leaf Chandler,312-819-5061,Operating,Marijuana Establishment,7200 W Chandler Blvd Ste 7,Chandler,85226,"Email
azlicensing@verano.holdings",,,,,26,ADHS,Arizona Department of Health Services,Retail - Sell,00000040ESDX57445071,,,33.305379242050705,-111.96558385567546,AZ,1/22/2023,Azgm 3 Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Black Labs, LLC","Black Labs, LLC",(602) 410-6849,Operating,Marijuana Laboratory,9030 S Rita Rd,Tucson,85747,"Email
karriem@azblacklabs.com",,,,,27,ADHS,Arizona Department of Health Services,Adult-Use,00000019LCFV63662604,,,32.0938760098507,-110.81010502335155,AZ,9/15/2021,"Black Labs, LLC",,,Pima County,,,2023-08-13T12:34:02.093791
"Blue Palo Verde 1, LLC","Blue Palo Verde 1, LLC",Marijuana Establishment,Not Operating,Marijuana Establishment,6730 N Scottsdale Rd,Paradise Valley,85253,"Email
jentweed87@gmail.com",,,,,28,ADHS,Arizona Department of Health Services,,0000150ESTPZ83854528,,,33.534094008400146,-111.92741296809511,AZ,4/8/2022,"Blue Palo Verde 1, LLC",,,Maricopa County,,,2023-08-13T12:34:02.093791
"Border Health, Inc",Sticky Saguaro,(602) 644-9188,Operating,Marijuana Establishment,12338 E Riggs Rd,Chandler,85249,"Email
borderhealthmmj@gmail.com",,,,,29,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Manufacture Retail - Cultivate Retail - Sell,00000022ESMC44584355,,,33.220566000000005,-111.815775,AZ,1/22/2023,"Border Health, Inc",,,Maricopa County,,,2023-08-13T12:34:02.093791
Broken Arrow Herbal Center Inc,HANA MEDS,(520) 289-8030,Operating,Marijuana Establishment,1732 W Commerce Point Pl,Sahuarita,85614,"Email
compliance@hanameds.com",,,,,30,ADHS,Arizona Department of Health Services,Retail - Sell,00000102ESWC76772229,,,31.896941576261234,-111.00248683067008,AZ,8/8/2022,Broken Arrow Herbal Center Inc,,,Pima County,,,2023-08-13T12:34:02.093791
"Buds & Roses, Inc",The Flower Shop Az,(480) 865-4407,Operating,Marijuana Establishment,5205 E University Dr,Mesa,85205,"Email
gretab@theflowershopaz.com",,,,,31,ADHS,Arizona Department of Health Services,Retail - Sell,00000028ESVU53788832,,,33.42246300000001,-111.7187685,AZ,1/22/2023,"Buds & Roses, Inc",,,Maricopa County,,,2023-08-13T12:34:02.093791
Byers Dispensary,Harvest of Scottdale,850-508-0261,Operating,Marijuana Establishment,15190 N Hayden Rd,Scottsdale,85260,"Email
compliance@trulieve.com",,,,,32,ADHS,Arizona Department of Health Services,Retail - Manufacture Retail - Sell,00000003ESPF54627423,,,33.62395500933005,-111.90359201836567,AZ,8/8/2022,Byers Dispensary Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
C4 Laboratories,SC Labs,(480) 219-6460,Operating,Marijuana Laboratory,7650 East Evans Rd Unit A,Scottsdale,85260,"Email
ryan@c4laboratories.com",,,,,33,ADHS,Arizona Department of Health Services,Adult-Use,,,,33.61694899556085,-111.91485503311961,AZ,,C4 Laboratories Llc,,,Maricopa County,,,2023-08-13T12:34:02.093791
Cactus Bloom Facilities Management LLC,Releaf,520-982-9212,Operating,Marijuana Establishment,436 Naugle Ave,Patagonia,85624,"Email
aarrbn@aol.com",,,,,34,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Sell,00000144ESQK21738687,,,31.53864902050171,-110.75776196585863,AZ,4/19/2023,Cactus Bloom Facilities Management LLC,,,Santa Cruz County,,,2023-08-13T12:34:02.093791
Cannabis Research Group Inc,The Phoenix,(480) 420-0377,Operating,Marijuana Establishment,9897 W McDowell Rd #720,Tolleson,85353,"Email
writejigar@gmail.com",,,,,35,ADHS,Arizona Department of Health Services,Retail - Sell,00000104ESDH57805022,,,33.46320498430319,-112.27094904159705,AZ,8/8/2022,Cannabis Research Group Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Cardinal Square, Inc",The Mint,520-808-3111,Operating,Marijuana Establishment,1211 N 75th Ave,Phoenix,85043,"Email
cardinalsquare@thepharmaz.com",,,,,36,ADHS,Arizona Department of Health Services,Retail - Sell,00000132ESFR75101840,,,33.46150769081969,-112.21998975249939,AZ,3/10/2023,Cardinal Health Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
Catalina Hills Botanical Care Inc,Catalina Hills Botanical Care,623-385-1310,Operating,Marijuana Establishment,2918 N Central Ave,Phoenix,85012,"Email
catalinahillsbotanicalcare@curaleaf.com",,,,,37,ADHS,Arizona Department of Health Services,Retail - Sell,00000025ESOX62486193,,,33.481071,-112.0741875,AZ,8/8/2022,Catalina Hills Botanical Care Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
Cjk Inc,HANA MEDS,602 491-0420,Operating,Marijuana Establishment,3411 E Corona Ave,Phoenix,85040,"Email
compliance@hanameds.com",,,,,38,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000106ESEU57773093,,,33.40451401816891,-112.00740096718418,AZ,8/8/2022,Cjk Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Compassionate Care Of AZ, Inc.",Consume Cannabis,(928) 536-5151,Operating,Marijuana Establishment,1350 N Penrod Rd,Show Low,85901,"Email
leonardd@verdantvp.com",,,,,39,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Cultivation - Prepare Edibles Retail - Sell,00000091ESHS96689917,,,34.26112298120796,-110.02017602791086,AZ,7/25/2022,"Compassionate Care Of Az, Inc",,,Navajo County,,,2023-08-13T12:34:02.093791
Copper State Herbal Center Inc,Botanica,(520) 395-0230,Operating,Marijuana Establishment,6205 N Travel Center Dr,Tucson,85741,"Email
copperstatehc@live.com",,,,,40,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Cultivate Retail - Sell,00000127ESET80222360,,,32.31978651122408,-111.04760194757323,AZ,8/8/2022,Copper State Herbal Center Inc,,,Pima County,,,2023-08-13T12:34:02.093791
"CSI Solutions, Inc.",Sol Flower,480-420-3300,Operating,Marijuana Establishment,14980 N 78th Way,Scottsdale,85260,"Email
tbeyer@beyermanagement.com",,,,,41,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000012ESIS11195422,,,33.62108399794488,-111.90914796288551,AZ,8/8/2022,Csi Solutions Llc,,,Maricopa County,,,2023-08-13T12:34:02.093791
Curious Cultivators I LLC,Curious Cultivators I LLC,Marijuana Establishment,Not Operating,Marijuana Establishment,1569 W 14th St,Yuma,85364,"Email
mg3813963@gmail.com",,,,,42,ADHS,Arizona Department of Health Services,,0000155ESTWD37312465,,,32.70256399302863,-114.63943096559468,AZ,4/8/2022,Curious Cultivators I LLC,,,Yuma County,,,2023-08-13T12:34:02.093791
Delta Verde Laboratory,Delta Verde Laboratory,(602) 466-9730,Operating,Marijuana Laboratory,12620 North Cave Creek Rd,Phoenix,85022,"Email
nate@deltaverdelab.com",,,,,43,ADHS,Arizona Department of Health Services,Adult-Use,00000008LCXF00023166,,,33.60165998507368,-112.03768000567224,AZ,,Delta Verde Laboratory,,,Maricopa County,,,2023-08-13T12:34:02.093791
Desert Boyz,Deeply Rooted Boutique Cannabis Company,(480) 708-0296,Operating,Marijuana Establishment,13713 North A Street,El Mirage,85335,"Email
abelochoa86@gmail.com",,,,,44,ADHS,Arizona Department of Health Services,Retail - Manufacture,0000153ESTXW47689762,,,33.60846814401842,-112.3143727482829,AZ,4/8/2022,Desert Boyz,,,Maricopa County,,,2023-08-13T12:34:02.093791
Desert Medical Campus Inc,JARS Cannabis,602-870-8700,Operating,Marijuana Establishment,10040 N. Metro Parkway W,Phoenix,85051,"Email
complianceaz@jarscannabis.com",,,,,45,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell,00000038ESPN59181329,,,33.57800000979472,-112.12509898102148,AZ,8/8/2022,"Desert Medical Campus, Inc",,,Maricopa County,,,2023-08-13T12:34:02.093791
Desert Valley Testing,Desert Valley Testing,(720) 490-6710,Operating,Marijuana Laboratory,3520 North 7th Street,Phoenix,85014,"Email
gary@desertvalleytesting.com",,,,,46,ADHS,Arizona Department of Health Services,Adult-Use,0000031LRCHX78341676,,,33.48914295131766,-112.06570431220611,AZ,8/9/2023,Gary Ronald Brook,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Desert Valley Testing, Llc.","Desert Valley Testing, Llc.",(480) 282-1324,Operating,Marijuana Laboratory,51 W Weldon Avenue,Phoenix,85013,"Email
tabitha@desertvalleytesting.com",,,,,47,ADHS,Arizona Department of Health Services,Adult-Use,00000003LCIN00627986,,,33.490700084113556,-112.07459184769634,AZ,,"Desert Valley Testing, Llc.",,,Maricopa County,,,2023-08-13T12:34:02.093791
"Desertview Wellness & Healing Solutions, LLC",Green Pharms,(928) 522-6337,Operating,Marijuana Establishment,7121 N Hwy 89,Flagstaff,86004,"Email
arvinaz@gmail.com",,,,,48,ADHS,Arizona Department of Health Services,Retail - Sell,00000077ESTT45790153,,,35.24149900080705,-111.56925097646622,AZ,8/8/2022,"Desertview Wellness & Healing Solutions, LLC",,,Coconino County,,,2023-08-13T12:34:02.093791
Devine Desert Healing Inc,Devine Desert Healing Inc,623-385-1310,Operating,Marijuana Establishment,17201 N 19th Ave,Phoenix,85023,"Email
devinedeserthealing@curaleaf.com",,,,,49,ADHS,Arizona Department of Health Services,Retail - Sell,00000026ESRZ88769978,,,33.64156800000001,-112.09970352397735,AZ,1/22/2023,"Devine Desert Healing, Inc.",,,Maricopa County,,,2023-08-13T12:34:02.093791
Dreem Green Inc,JARS Cannabis,(602) 675-6999,Operating,Marijuana Establishment,2424 S. 24th St,Phoenix,85034,"Email
ronnie.kassab@jarscannabis.com",,,,,50,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store,00000078ESQG10647381,,,33.42503698236544,-112.03087901325472,AZ,8/8/2022,Dreen Green Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
DYNAMIC TRIO HOLDINGS LLC,DYNAMIC TRIO HOLDINGS LLC,Marijuana Establishment,Not Operating,Marijuana Establishment,3908 E Windrose Dr,Phoenix,85032,"Email
elizabethm8101@gmail.com",,,,,51,ADHS,Arizona Department of Health Services,,0000146ESTKT01674214,,,33.60247001219656,-111.99730102531487,AZ,4/8/2022,DYNAMIC TRIO HOLDINGS LLC,,,Maricopa County,,,2023-08-13T12:34:02.093791
Earth's Healing Inc,Earth's Healing Inc,(520) 373-5779,Operating,Marijuana Establishment,2075 E Benson Hwy,Tucson,85714,"Email
eh@earthshealing.org",,,,,52,ADHS,Arizona Department of Health Services,Retail - Sell,00000112ESWR37460976,,,32.166801909544525,-110.94102183997933,AZ,8/8/2022,Earth's Healing Inc,,,Pima County,,,2023-08-13T12:34:02.093791
East Valley Patient Wellness Group Inc,East Valley Patient Wellness Group Inc,(623) 246-8080,Operating,Marijuana Establishment,13650 N 99th Ave,Sun City,85351,"Email
tbeyer@beyermanagement.com",,,,,53,ADHS,Arizona Department of Health Services,Retail - Sell,00000019ESXY11403163,,,33.608001896762595,-112.2683620194757,AZ,8/8/2022,East Valley Patient Wellness Group Inc,,,Maricopa County,,,2023-08-13T12:34:02.093791
Eba Holdings Inc.,Monarch Wellness Center,(480) 991-3752,Operating,Marijuana Establishment,8729 E Manzanita Dr,Scottsdale,85258,"Email
compliance@medmen.com",,,,,54,ADHS,Arizona Department of Health Services,Cultivation - Manufacture Cultivation - Cultivate Cultivation - Prepare Edibles Retail - Sell,00000068ESZM96727661,,,33.554293902273855,-111.89264554469379,AZ,8/8/2022,"Eba Holdings, Inc.",,,Maricopa County,,,2023-08-13T12:34:02.093791
Encanto Green Cross Dispensary,Sunnyside,(888) 633-7411,Operating,Marijuana Establishment,2620 W Encanto Blvd,Phoenix,85009,"Email
cbil@crescolabs.com",,,,,55,ADHS,Arizona Department of Health Services,Retail - Sell,00000101ESZO30906924,,,33.47372498525014,-112.11598399659432,AZ,8/8/2022,Encanto Green Cross Dispensary,,,Maricopa County,,,2023-08-13T12:34:02.093791
Ethos Analytics LLC,Ethos Analytics LLC,(805) 312-6659,Operating,Marijuana Laboratory,3020 E Camelback Rd,Phoenix,85016,"Email
tyler@ethosanalytics.io",,,,,56,ADHS,Arizona Department of Health Services,Adult-Use,0000026LRCND60176649,,,33.51096100337382,-112.01667897962811,AZ,6/17/2022,Ethos Analytics LLC,,,Maricopa County,,,2023-08-13T12:34:02.093791
FJM Group LLC,Zanzibar,(520) 907-2181,Operating,Marijuana Establishment,60 W Main St,Quartzsite,85346,"Email
azdhs@zemail.com",,,,,57,ADHS,Arizona Department of Health Services,Cultivation - Cultivate Retail - Sell,00000141ESYC13235553,,,33.66655372130172,-114.21843954500939,AZ,4/19/2023,FJM Group LLC,,,La Paz County,,,2023-08-13T12:34:02.093791
"Flower Scientific Labs, LLC","Flower Scientific Labs, LLC",(480) 290-5660,Operating,Marijuana Laboratory,1145 W Fairmont Dr,Tempe,85282,"Email
knelson@flowerscientific.com",,,,,58,ADHS,Arizona Department of Health Services,Adult-Use,0000030LRCVG81379529,,,33.39603299898842,-111.95570499261642,AZ,7/24/2023,"Flower Scientific Labs, LLC",,,Maricopa County,,,2023-08-13T12:34:02.093791
Forever 46 Llc,The Downtown Dispensary,(520) 838-0492,Operating,Marijuana Establishment,221 E 6th St,Tucson,85705,"Email
downtowndispensary@icloud.com",,,,,59,ADHS,Arizona Department of Health Services,Cultivation - Process Cultivation - Manufacture Cultivation - Cultivate Retail - Sell,00000126ESDQ50929013,,,32.22804999548386,-110.96810297619929,AZ,8/8/2022,Forever 46 Llc,,,Pima County,,,2023-08-13T12:34:02.093791
"Formula 420 Cannabis, LLC","Formula 420 Cannabis, LLC",480-677-1755,Operating,Marijuana Establishment,1633 S Highway 92,Sierra Vista,85635,"Email
compliance@trulieve.com",,,,,60,ADHS,Arizona Department of Health Services,Retail - Sell,00000135ESGE19332725,,,31.53874801077822,-110.25673797831719,AZ,4/19/2023,"Formula 420 Cannabis, LLC",,,Cochise County,,,2023-08-13T12:34:02.093791
"Fort Consulting, Llc",Zen Leaf Phoenix (Cave Creek Rd),312-819-5061,Operating,Marijuana Establishment,12401 N Cave Creek Rd,Phoenix,85022,"Email
azlicensing@verano.holdings",,,,,61,ADHS,Arizona Department of Health Services,Retail - Sell,00000064ESAK09838873,,,33.59886198006518,-112.03671700881641,AZ,1/22/2023,"Fort Consulting, Llc",,,Maricopa County,,,2023-08-13T12:34:02.093791
"Fort Mountain Consulting, Llc",Trulieve of Tucson,770-330-0831,Operating,Marijuana Establishment,4659 E 22nd St,Tucson,85711,"Email
compliance@trulieve.com",,,,,62,ADHS,Arizona Department of Health Services,Retail - Sell,00000016ESBY46918805,,,32.20735700438142,-110.89273399249312,AZ,1/22/2023,"Fort Mountain Consulting, Llc",,,Pima County,,,2023-08-13T12:34:02.093791
"Full Spectrum Lab, LLC","Full Spectrum Lab, LLC",(480) 677-9150,Operating,Marijuana Laboratory,3865 E 34th St,Tucson,85713,"Email
symon@fullspectrumlab.com",,,,,63,ADHS,Arizona Department of Health Services,Adult-Use,0000028LRCUW52326505,,,32.195627997720436,-110.91136402958603,AZ,5/4/2023,"Full Spectrum Lab, LLC",,,Pima County,,,2023-08-13T12:34:02.093791
Fwa Inc,Farm Fresh,(928) 733-6339,Operating,Marijuana Establishment,790 N Lake Havasu Ave #4,Lake Havasu City,86404,"Email
compliance@thefarmaz.com",,,,,64,ADHS,Arizona Department of Health Services,Retail - Sell Manufacture - Manufacture Manufacture - Package & Store Manufacture - Prepare Edibles,00000062ESGQ60020478,,,34.49857444463039,-114.34794568878813,AZ,8/8/2022,Fwa. Inc.,,,Mohave County,,,2023-08-13T12:34:02.093791
G.T.L. Llc,The Mint Dispensary,(480) 749-6468,Operating,Marijuana Establishment,2444 W Northern Ave,Phoenix,85021,"Email
compliance@brightroot.com",,,,,65,ADHS,Arizona Department of Health Services,Retail - Sell,00000034ESEZ92106085,,,33.5534249821461,-112.11152398591466,AZ,1/22/2023,G.T.L. Llc,,,Maricopa County,,,2023-08-13T12:34:02.093791
"Gila Dreams X, LLC",JARS Cannabis,602-607-1216,Operating,Marijuana Establishment,200 N Tonto St Suite A,Payson,85541,"Email
ronnie.kassab@jarscannabis.com",,,,,66,ADHS,Arizona Department of Health Services,Retail - Sell,00000137ESPF58509627,,,34.2423040160175,-111.32828198900832,AZ,4/19/2023,"Gila Dreams X, LLC",,,Gila County,,,2023-08-13T12:34:02.093791
