business_dba_name,premise_city,premise_county,premise_street_address,premise_zip_code,licensing_authority_id,licensing_authority,license_status,license_designation,premise_state,business_image_url,license_status_date,license_term,issue_date,expiration_date,business_email,business_owner_name,business_structure,business_website,activity,business_phone,parcel_number,business_legal_name,data_refreshed_date,license_number,license_type,id,premise_latitude,premise_longitude
The Green Planet,Aurora,Clackamas,25496 S Hwy 99 E,97002,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE GREEN PLANET,2023-05-02T00:00:00,050 1002483A9C1,Recreational Retailer,050 1002483A9C1,45.2374215,-122.7405509
Oregon Bud Company,Clackamas,Clackamas,16631 Se 82Nd Dr,97015,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OREGON BUD COMPANY ,2023-05-02T00:00:00,050 10006476DA7,Recreational Retailer,050 10006476DA7,45.4023444,-122.5695976
Stoney Only Clackamas,Clackamas,Clackamas,10289 Se Hwy 212,97015,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,STONEY ONLY CLACKAMAS,2023-05-02T00:00:00,050 10054270DD5,Recreational Retailer,050 10054270DD5,45.408242,-122.5579314
Electric Lettuce Damascus,Damascus,Clackamas,15252 Se Hwy 224  Ste B,97089,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELECTRIC LETTUCE DAMASCUS,2023-05-02T00:00:00,050 10140566C3D,Recreational Retailer,050 10140566C3D,45.408865,-122.5054355
Green Apple Nw,Damascus,Clackamas,24180 Se Borges Rd #A,97089,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN APPLE NW,2023-05-02T00:00:00,050 1004120449B,Recreational Retailer,050 1004120449B,45.454697,-122.4142213
Hashstoria,Gladstone,Clackamas,17763 Se 82Nd Dr Ste D,97027,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HASHSTORIA,2023-05-02T00:00:00,050 101503748E8,Recreational Retailer,050 101503748E8,45.3945205,-122.5743064
Electric Lettuce Sunnyside,Happy Valley,Clackamas,16416 Se Sunnyside Road,97015,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELECTRIC LETTUCE SUNNYSIDE,2023-05-02T00:00:00,050 101070561E6,Recreational Retailer,050 101070561E6,45.4267423,-122.4942566
Nectar,Happy Valley,Clackamas,10201 Se 82Nd Ave,97086,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 10159858AEB,Recreational Retailer,050 10159858AEB,45.4492223,-122.5798178
Stumptown Cannabis,Happy Valley,Clackamas,10587 Se 82Nd Ave,97086,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,STUMPTOWN CANNABIS ,2023-05-02T00:00:00,050 100671665A3,Recreational Retailer,050 100671665A3,45.44638500000001,-122.5792654
The Green Planet,Lake Oswego,Clackamas,15171 Sw Bangy Rd,97035,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE GREEN PLANET,2023-05-02T00:00:00,050 1002483A9C1,Recreational Retailer,050 1002483A9C1,45.4158435,-122.7431493
Little Amsterdam Wellness Center,Milwaukie,Clackamas,18819 Se Mcloughlin Boulevard,97267,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LITTLE AMSTERDAM WELLNESS CENTER,2023-05-02T00:00:00,050 1004322D06D,Recreational Retailer,050 1004322D06D,45.3862521,-122.6096771
Maritime Cafe,Milwaukie,Clackamas,17417 Se Mcloughlin Blvd.,97267,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MARITIME CAFE,2023-05-02T00:00:00,050 10000680436,Recreational Retailer,050 10000680436,45.3964669,-122.6178099
Nectar,Milwaukie,Clackamas,6335 Se Harmony Road,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 10159858AEB,Recreational Retailer,050 10159858AEB,45.4322163,-122.5976858
"Nectar Markets, Llc",Milwaukie,Clackamas,13800 Se Mcloughlin Blvd,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"NECTAR MARKETS, LLC",2023-05-02T00:00:00,050 10109253AEE,Recreational Retailer,050 10109253AEE,45.4234172,-122.6330072
Paradise Found,Milwaukie,Clackamas,10655 Se 42Nd Avenue,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,PARADISE FOUND,2023-05-02T00:00:00,050 1008521615D,Recreational Retailer,050 1008521615D,45.446227,-122.6198741
Ripped City Greenz,Milwaukie,Clackamas,15591 Se Mcloughlin Blvd,97267,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,RIPPED CITY GREENZ,2023-05-02T00:00:00,050 1023557271F,Recreational Retailer,050 1023557271F,45.4101967,-122.6279518
The Green Planet,Milwaukie,Clackamas,15080 Se Mcloughlin Blvd,97267,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE GREEN PLANET,2023-05-02T00:00:00,050 1002483A9C1,Recreational Retailer,050 1002483A9C1,45.4146018,-122.6302029
"Today'S Herbal Choice Milwaukie, Llc",Milwaukie,Clackamas,3087 Se Monroe St,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,"TODAY'S HERBAL CHOICE MILWAUKIE, LLC",2023-05-02T00:00:00,050 10153550A2B,Recreational Retailer,050 10153550A2B,45.4455794,-122.6301322
Top Hat Express,Milwaukie,Clackamas,11916 Se 22Nd Avenue Suite B,97222,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TOP HAT EXPRESS,2023-05-02T00:00:00,050 101338246B5,Recreational Retailer,050 101338246B5,45.4377713,-122.6407998
Bigfoot Bud Company,Molalla,Clackamas,109 West Main Street,97038,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,BIGFOOT BUD COMPANY,2023-05-02T00:00:00,050 10039882706,Recreational Retailer,050 10039882706,45.1477985,-122.5775454
"Today'S Herbal Choice, Inc.",Molalla,Clackamas,31568 S Hwy 213,97038,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"TODAY'S HERBAL CHOICE, INC.",2023-05-02T00:00:00,050 1003857B96E,Recreational Retailer,050 1003857B96E,45.149632,-122.606552
Cannabis Nation Oregon City,Oregon City,Clackamas,1128 Main St,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANNABIS NATION OREGON CITY,2023-05-02T00:00:00,050 10081041764,Recreational Retailer,050 10081041764,45.3556099,-122.605853
Electric Lettuce Oregon City,Oregon City,Clackamas,1279 Molalla Ave,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELECTRIC LETTUCE OREGON CITY,2023-05-02T00:00:00,050 100595905E3,Recreational Retailer,050 100595905E3,45.3371921,-122.5905914
Five Zero Trees Oregon City,Oregon City,Clackamas,719 Main St,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,FIVE ZERO TREES OREGON CITY,2023-05-02T00:00:00,050 1014054E333,Recreational Retailer,050 1014054E333,45.3556099,-122.605853
Gnome Grown Oregon,Oregon City,Clackamas,2005 Beavercreek Rd.,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GNOME GROWN OREGON,2023-05-02T00:00:00,050 1004511D431,Recreational Retailer,050 1004511D431,45.3330731,-122.5814376
Kaleafa,Oregon City,Clackamas,19197 S Molalla Avenue,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,KALEAFA,2023-05-02T00:00:00,050 1015536CD46,Recreational Retailer,050 1015536CD46,45.3283947,-122.585007
La Mota Merlin Llc,Oregon City,Clackamas,309 17Th St,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA MERLIN LLC,2023-05-02T00:00:00,050 101590083E5,Recreational Retailer,050 101590083E5,45.3646795,-122.5986331
The Herb Center,Oregon City,Clackamas,921 7Th St,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE HERB CENTER,2023-05-02T00:00:00,050 10171352370,Recreational Retailer,050 10171352370,45.3548739,-122.6016299
Wild West Emporium,Oregon City,Clackamas,222 Molalla Ave,97045,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,WILD WEST EMPORIUM,2023-05-02T00:00:00,050 10060518DA7,Recreational Retailer,050 10060518DA7,45.3488438,-122.5970548
Electric Lettuce Kerns,Portland,Clackamas,2026 Ne Sandy Blvd,97232,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELECTRIC LETTUCE KERNS,2023-05-02T00:00:00,050 10140881D51,Recreational Retailer,050 10140881D51,45.5259373,-122.6448376
Green Lion,Portland,Clackamas,7000 Se Johnson Creek Blvd.,97206,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN LION,2023-05-02T00:00:00,050 1015135E4D3,Recreational Retailer,050 1015135E4D3,45.45578760000001,-122.5905199
Green Stop Meds,Portland,Clackamas,17030 Se Mcloughlin Blvd,97267,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN STOP MEDS,2023-05-02T00:00:00,050 10056731BDF,Recreational Retailer,050 10056731BDF,45.400655,-122.6194803
Greenfront,Portland,Clackamas,8138 Ne Sandy Blvd,97213,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREENFRONT,2023-05-02T00:00:00,050 10167774072,Recreational Retailer,050 10167774072,45.5519811,-122.5790881
Wildcat Oils & Flower,Portland,Clackamas,6906 Se Johnson Creek Blvd  Suite A,97206,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WILDCAT OILS & FLOWER,2023-05-02T00:00:00,050 1012564330F,Recreational Retailer,050 1012564330F,45.4556636,-122.5915522
Mount Hood Cannabis Company,Rhododendron,Clackamas,73410 Us-26,97049,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MOUNT HOOD CANNABIS COMPANY,2023-05-02T00:00:00,050 100945472E9,Recreational Retailer,050 100945472E9,45.3269656,-121.9092306
Smoke On The Mountain Llc,Welches,Clackamas,23860 E Arrah Wanna Blvd,97067,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SMOKE ON THE MOUNTAIN LLC,2023-05-02T00:00:00,050 10045349EFC,Recreational Retailer,050 10045349EFC,45.3502994,-121.9733092
Five Zero Trees Astoria,Astoria,Clatsop,1169 Commercial St,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,FIVE ZERO TREES ASTORIA,2023-05-02T00:00:00,050 101405144D4,Recreational Retailer,050 101405144D4,46.1889057,-123.8307203
Good Life Collective,Astoria,Clatsop,193 Marine Drive,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GOOD LIFE COLLECTIVE,2023-05-02T00:00:00,050 1017483E9A8,Recreational Retailer,050 1017483E9A8,46.1904511,-123.8407887
Hashstoria,Astoria,Clatsop,229 W Marine Dr #C,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HASHSTORIA,2023-05-02T00:00:00,050 1007581CF85,Recreational Retailer,050 1007581CF85,46.1894796,-123.8483078
Mr. Nice Guy Astoria,Astoria,Clatsop,690 Olney Ave.,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY ASTORIA,2023-05-02T00:00:00,050 1004346113D,Recreational Retailer,050 1004346113D,46.1734053,-123.8364773
Mr. Nice Guy Bond St.,Astoria,Clatsop,730 Bond Street Ste. B,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY BOND ST.,2023-05-02T00:00:00,050 100883848C4,Recreational Retailer,050 100883848C4,46.1900366,-123.8353655
Pure Green,Astoria,Clatsop,3108 Marine Drive,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,PURE GREEN,2023-05-02T00:00:00,050 10159373F6B,Recreational Retailer,050 10159373F6B,46.1912822,-123.8092572
Smooth Roots (Astoria),Astoria,Clatsop,491 W Marine Dr,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SMOOTH ROOTS (ASTORIA),2023-05-02T00:00:00,050 10183318D9E,Recreational Retailer,050 10183318D9E,46.1850227,-123.8578538
Sweet Relief Natural Medicine,Astoria,Clatsop,1444 Commercial St.,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SWEET RELIEF NATURAL MEDICINE,2023-05-02T00:00:00,050 10025514D43,Recreational Retailer,050 10025514D43,46.1892176,-123.828053
The Farmacy,Astoria,Clatsop,2911 Marine Dr. Suite B,97103,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE FARMACY,2023-05-02T00:00:00,050 10109648FB8,Recreational Retailer,050 10109648FB8,46.1898588,-123.8115323
Bahama Buds,Cannon Beach,Clatsop,1088 S Hemlock St,97110,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BAHAMA BUDS,2023-05-02T00:00:00,050 10124193FBD,Recreational Retailer,050 10124193FBD,45.89017810000001,-123.9621487
Five Zero Trees Cannon Beach,Cannon Beach,Clatsop,140 S Hemlock St,97110,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,FIVE ZERO TREES CANNON BEACH,2023-05-02T00:00:00,050 10140524D3D,Recreational Retailer,050 10140524D3D,45.8963023,-123.9612269
Oregrown Cannon Beach,Cannon Beach,Clatsop,215  N Hemlock St,97110,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,OREGROWN CANNON BEACH,2023-05-02T00:00:00,050 10171226BE6,Recreational Retailer,050 10171226BE6,45.89854529999999,-123.9606526
Singing Sands Cannabis Company,Cannon Beach,Clatsop,279 N Hemlock St,97110,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SINGING SANDS CANNABIS COMPANY,2023-05-02T00:00:00,050 1012241E9AE,Recreational Retailer,050 1012241E9AE,45.8997133,-123.9605382
Sweet Relief Gearhart,Gearhart,Clatsop,4210 Hwy 101 N.,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SWEET RELIEF GEARHART,2023-05-02T00:00:00,050 10083622BC7,Recreational Retailer,050 10083622BC7,46.0352345,-123.9136776
World Famous Top Shelf Cannabis,Gearhart,Clatsop,3521 Highway 101 N,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WORLD FAMOUS TOP SHELF CANNABIS,2023-05-02T00:00:00,050 1018699F5C5,Recreational Retailer,050 1018699F5C5,46.0254848,-123.9113326
Brothers Cannabis,Seaside,Clatsop,1111 N Roosevelt Dr Ste 324,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BROTHERS CANNABIS,2023-05-02T00:00:00,050 1018133AC46,Recreational Retailer,050 1018133AC46,46.0012053,-123.9168973
Canna Beach Junction,Seaside,Clatsop,84834 Highway 101,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANNA BEACH JUNCTION,2023-05-02T00:00:00,050 10051024930,Recreational Retailer,050 10051024930,45.9448015,-123.9220974
Cannabis Nation,Seaside,Clatsop,550 S Roosevelt Dr,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANNABIS NATION,2023-05-02T00:00:00,050 10020483760,Recreational Retailer,050 10020483760,45.9900941,-123.9221029
Coastal Craft Cannabis,Seaside,Clatsop,200 N Roosevelt Dr,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,COASTAL CRAFT CANNABIS,2023-05-02T00:00:00,050 10187941F4A,Recreational Retailer,050 10187941F4A,45.9952861,-123.9198959
Highway 420,Seaside,Clatsop,1803 S Roosevelt Dr  Suite C,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HIGHWAY 420,2023-05-02T00:00:00,050 1004691B5CD,Recreational Retailer,050 1004691B5CD,45.9823903,-123.9257016
Oasis Cannabis,Seaside,Clatsop,1111 S. Holladay Drive,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OASIS CANNABIS,2023-05-02T00:00:00,050 1004580125D,Recreational Retailer,050 1004580125D,45.9866249,-123.9234804
Tsunami Marijuana Llc,Seaside,Clatsop,1555 N Roosevelt Dr,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TSUNAMI MARIJUANA LLC,2023-05-02T00:00:00,050 1004244CF83,Recreational Retailer,050 1004244CF83,46.0041711,-123.9157533
Western Oregon Dispensary,Seaside,Clatsop,38012 Hwy 26 #2,97138,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WESTERN OREGON DISPENSARY,2023-05-02T00:00:00,050 1014405321C,Recreational Retailer,050 1014405321C,44.5055605,-118.2640149
Hashstoria,Westport,Clatsop,49332 Hwy 30 Ste. B,97016,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HASHSTORIA,2023-05-02T00:00:00,050 1007581CF85,Recreational Retailer,050 1007581CF85,46.1326105,-123.3748481
"Today'S Herbal Choice Rainier, Llc",Rainier,Columbia,75936 Rockcrest St Unit B1,97048,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"TODAY'S HERBAL CHOICE RAINIER, LLC",2023-05-02T00:00:00,050 1004252574B,Recreational Retailer,050 1004252574B,46.0965762,-122.9606969
Emerald City Dispensary,Scappoose,Columbia,50414 Columbia River,97056,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,EMERALD CITY DISPENSARY ,2023-05-02T00:00:00,050 1002710CD3B,Recreational Retailer,050 1002710CD3B,45.72730989999999,-122.8754192
Green Lion,Scappoose,Columbia,50178 Columbia River Highway,97056,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN LION,2023-05-02T00:00:00,050 1005553BACC,Recreational Retailer,050 1005553BACC,45.7238415,-122.8752461
Sweet Relief Scappoose,Scappoose,Columbia,52515 Columbia River Hwy,97056,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SWEET RELIEF SCAPPOOSE,2023-05-02T00:00:00,050 1005805038C,Recreational Retailer,050 1005805038C,45.757601,-122.8784352
Good Good,St. Helens,Columbia,100 St. Helens Street,97051,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GOOD GOOD ,2023-05-02T00:00:00,050 1012848DB9F,Recreational Retailer,050 1012848DB9F,45.8641183,-122.7987864
