license_number,id,business_dba_name,license_type,license_status,business_legal_name,business_owner_name,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,issue_date,expiration_date,premise_city,premise_zip_code,premise_street_address,premise_county,premise_latitude,premise_longitude,business_phone,business_website,business_email,business_image_url,data_refreshed_date
10272,1035454,LIGHTENING STRIKE ORGANICS,Limited Marijuana Cultivation Facility,Active-Operating,LIGHTENING STRIKE ORGANICS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99515,9400 Old Seward Hwy,Anchorage Municipality,61.13536140000001,-149.8643616,,,,,2023-08-12T10:49:50.664362
10308,2173220,GreenDreams Cultivation,Limited Marijuana Cultivation Facility,Active-Operating,GreenDreams Cultivation,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,680 Winch Rd,Fairbanks North Star Borough,64.92146679999999,-147.5821024,,,,,2023-08-12T10:49:50.664362
10489,1034113,ESTER HORTICULTURE AND RESEARCH,Limited Marijuana Cultivation Facility,Active-Operating,ESTER HORTICULTURE AND RESEARCH,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,2960 Ester Dome Rd,Fairbanks North Star Borough,64.8920479,-147.9471699,,,,,2023-08-12T10:49:50.664362
10500,2138340,Frozen North Farms LLC,Limited Marijuana Cultivation Facility,Active-Operating,Frozen North Farms LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,North Pole,99705,1213 Paige Ave,Fairbanks North Star Borough,64.7809566,-147.5268901,,,,,2023-08-12T10:49:50.664362
10922,1040961,SPARKLE FARMS ALASKA,Limited Marijuana Cultivation Facility,Active-Operating,SPARKLE FARMS ALASKA,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,,,,,,,,,2023-08-12T10:49:50.664362
11350,2100754,Hardworking Hippies,Limited Marijuana Cultivation Facility,Active-Operating,Hardworking Hippies,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,29775 Wilson St,Kenai Peninsula Borough,60.41199389999999,-151.1563931,,,,,2023-08-12T10:49:50.664362
11519,1033200,PERMAFROST DISTRIBUTORS,Limited Marijuana Cultivation Facility,Active-Operating,PERMAFROST DISTRIBUTORS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sterling,99672,32630 June Dr,Kenai Peninsula Borough,60.526706,-150.725112,(907) 260-7584,https://www.akpermafrost.com/,,,2023-08-12T10:49:50.664362
11778,1034850,"OLD SCHOOL & BUFFIE, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"OLD SCHOOL & BUFFIE, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,#5,Anchorage,,,,,,,,,2023-08-12T10:49:50.664362
11794,1073695,NORTH ROAD BUDS,Limited Marijuana Cultivation Facility,Active-Operating,NORTH ROAD BUDS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Nikiski,99635,50815 Kosta Rd,Kenai Peninsula Borough,60.716499,-151.237819,,,,,2023-08-12T10:49:50.664362
11921,1060851,SNOW CAPPED GARDENS L.L.C.,Limited Marijuana Cultivation Facility,Active-Operating,SNOW CAPPED GARDENS L.L.C.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,13150 E Soapstone Rd,Matanuska-Susitna Borough,61.66567370000001,-149.1195726,,,,,2023-08-12T10:49:50.664362
12002,1032308,"VAN GEER ENTERPRISES, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"VAN GEER ENTERPRISES, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,7411 W Dean Dr,,61.6157285,-149.6379894,,,,,2023-08-12T10:49:50.664362
12062,1045841,MATANUSKA MEDICINE WOMAN LLC,Limited Marijuana Cultivation Facility,Active-Operating,MATANUSKA MEDICINE WOMAN LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit #1,Wasilla,,,,,,,,,2023-08-12T10:49:50.664362
12317,1050006,"ANCHORAGE BOWL, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"ANCHORAGE BOWL, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99517,4000 Spenard Rd,Anchorage Municipality,61.18400579999999,-149.9270845,(907) 770-2690,https://anchoragebowl420.com/,,,2023-08-12T10:49:50.664362
12448,1050795,WILL'S WORLD,Limited Marijuana Cultivation Facility,Active-Operating,WILL'S WORLD,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Unit 1C,Palmer,12151 E Palmer-Wasilla Hwy Suite 1 C,Matanuska-Susitna Borough,61.60046089999999,-149.1445473,,http://www.willsworldalaska.com/,,,2023-08-12T10:49:50.664362
12523,1032158,AK KUSH,Limited Marijuana Cultivation Facility,Active-Operating,AK KUSH,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Units 3 & 4,Wasilla,1055 N Helen Ln,Matanuska-Susitna Borough,61.5915042,-149.4033047,,,,,2023-08-12T10:49:50.664362
12550,1050924,FRONTIER FARMERS,Limited Marijuana Cultivation Facility,Active-Operating,FRONTIER FARMERS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,6284 Carrie St,Matanuska-Susitna Borough,61.652713,-149.318266,,,,,2023-08-12T10:49:50.664362
12612,1051496,ABSOLEM'S GARDEN,Limited Marijuana Cultivation Facility,Active-Operating,ABSOLEM'S GARDEN,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,13247 E Wycoff Dr,Anchorage Municipality,61.486648,-149.125048,,,,,2023-08-12T10:49:50.664362
12919,1053193,"BLUEBERRY HILL, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"BLUEBERRY HILL, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,6990 S Yohn Bay Pl,Matanuska-Susitna Borough,61.49808709999999,-149.6272941,,,,,2023-08-12T10:49:50.664362
12935,1049665,"DYZ ALASKA, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"DYZ ALASKA, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,,,,,,,,,2023-08-12T10:49:50.664362
12989,1074959,PINNACLE PROJECTS,Limited Marijuana Cultivation Facility,Active-Operating,PINNACLE PROJECTS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,37035 Nicholas View Ln,Kenai Peninsula Borough,60.517406,-151.0841453,,,,,2023-08-12T10:49:50.664362
13102,1032729,"ALASKABUDS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"ALASKABUDS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,,,,,,,,,2023-08-12T10:49:50.664362
13116,1067793,GREEN ESCAPE,Limited Marijuana Cultivation Facility,Active-Operating,GREEN ESCAPE,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchor Point,99556,26189 Pepper Rd,Kenai Peninsula Borough,59.8950121,-151.7201817,,,,,2023-08-12T10:49:50.664362
13293,1054869,THRIFTY HIPPIE CULTIVATION LLC,Limited Marijuana Cultivation Facility,Active-Operating,THRIFTY HIPPIE CULTIVATION LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,S Pioneer Dr,Matanuska-Susitna Borough,61.5108073,-149.0556476,,,,,2023-08-12T10:49:50.664362
13344,1055076,TLG GARDEN LLC,Limited Marijuana Cultivation Facility,Active-Operating,TLG GARDEN LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,9761 Margin Way,Matanuska-Susitna Borough,61.56880979999999,-149.696651,(907) 892-4002,https://www.jewellequipment.com/,,,2023-08-12T10:49:50.664362
13503,1055654,ALASKA GREENWORKS LLC,Limited Marijuana Cultivation Facility,Complete,ALASKA GREENWORKS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Anchorage,99515,,,,,,,,,2023-08-12T10:49:50.664362
13659,1053303,"THE NOBLE DUDES, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"THE NOBLE DUDES, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Shop,Palmer,105 S Valley Way,Matanuska-Susitna Borough,61.6064857,-149.1098614,(907) 982-9215,http://www.poppylaneco.com/,,,2023-08-12T10:49:50.664362
13663,1056331,"ARCTIC FARM, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"ARCTIC FARM, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,1305 N Smith Rd,Matanuska-Susitna Borough,61.59322599999999,-149.0250715,(907) 746-1087,http://www.arcticorganics.com/,,,2023-08-12T10:49:50.664362
13803,1056542,"PEAK SEASON, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"PEAK SEASON, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,North Pole,99705,,,,,,,,,2023-08-12T10:49:50.664362
13864,2107810,House OP,Limited Marijuana Cultivation Facility,Active-Operating,House OP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,6511 Hemlock Dr,Matanuska-Susitna Borough,61.50765800000001,-149.715718,,,,,2023-08-12T10:49:50.664362
14002,1046834,CNE DEVELOPMENT,Limited Marijuana Cultivation Facility,Active-Operating,CNE DEVELOPMENT,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ninilchik,99639,10985 Sterling Hwy,Kenai Peninsula Borough,60.1131383,-151.5613268,,,,,2023-08-12T10:49:50.664362
14099,2093711,Frosty Flower,Limited Marijuana Cultivation Facility,Active-Operating,Frosty Flower,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,9300 N Palmer-Fishhook Rd,Matanuska-Susitna Borough,61.69029639999999,-149.2432958,(907) 746-3018,https://www.hatchersgrass.com/,,,2023-08-12T10:49:50.664362
14178,1057927,BODHI TREE WELLNESS,Limited Marijuana Cultivation Facility,Active-Operating,BODHI TREE WELLNESS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,,,,,,,,,2023-08-12T10:49:50.664362
14199,2091163,Matanuska Cannabis Company,Limited Marijuana Cultivation Facility,Active-Operating,Matanuska Cannabis Company,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Palmer,99645,3550 S Old Glenn Hwy,Matanuska-Susitna Borough,61.5419727,-149.0363912,(907) 745-4211,http://matanuskacannabis.com/,,,2023-08-12T10:49:50.664362
14227,1058047,GALACTIC HERB,Limited Marijuana Cultivation Facility,Active-Pending Inspection,GALACTIC HERB,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,1200 Well St,Fairbanks North Star Borough,64.84956869999999,-147.7285269,(907) 750-0865,http://tananaherbcompany.com/,,,2023-08-12T10:49:50.664362
14245,2144277,Deez Nugz,Limited Marijuana Cultivation Facility,Active-Operating,Deez Nugz,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,4315 Dimond Way,Matanuska-Susitna Borough,61.57564790000001,-149.3419415,,,,,2023-08-12T10:49:50.664362
14302,2122001,SHERWOOD'S MAGICAL FOREST,Limited Marijuana Cultivation Facility,Active-Operating,SHERWOOD'S MAGICAL FOREST,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Homer,99603,60390 Bryant Ct,Kenai Peninsula Borough,59.667742,-151.468161,,,,,2023-08-12T10:49:50.664362
14352,1057545,ALTHEA'S MORNING BEAR CULTIVATION,Limited Marijuana Cultivation Facility,Active-Operating,ALTHEA'S MORNING BEAR CULTIVATION,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kasilof,99610,21565 Evelyn May St,Kenai Peninsula Borough,60.294117,-151.234356,,,,,2023-08-12T10:49:50.664362
14427,1058581,"ELEVATED HEIGHTS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"ELEVATED HEIGHTS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sutton,99674,26506 E Little Granite Crk Lp,Matanuska-Susitna Borough,61.7387031,-148.7714428,,,,,2023-08-12T10:49:50.664362
14581,1058200,AK BEST BUDS LLC,Limited Marijuana Cultivation Facility,Active-Operating,AK BEST BUDS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,2888 S Clapp St,,61.55022999999999,-149.5403568,(907) 376-3155,http://www.greendegree.net/,,,2023-08-12T10:49:50.664362
14706,1069116,DENALI HERB COMPANY,Limited Marijuana Cultivation Facility,Active-Operating,DENALI HERB COMPANY,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Suite A,Wasilla,,,,,,,,,2023-08-12T10:49:50.664362
14736,1053220,THE HAPPY HARVEST COMPANY LLC,Limited Marijuana Cultivation Facility,Active-Operating,THE HAPPY HARVEST COMPANY LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,2301 S Knik Goose Bay Rd #1,Matanuska-Susitna Borough,61.5564973,-149.4863478,(907) 357-4427,http://thecultureak.com/,,,2023-08-12T10:49:50.664362
14800,1059378,FIELD'S OF GREEN LLC,Limited Marijuana Cultivation Facility,Active-Operating,FIELD'S OF GREEN LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,,,,,,,,,2023-08-12T10:49:50.664362
14885,1059774,"KARMA GROWN GARDENS, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"KARMA GROWN GARDENS, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,11928 Looking Glass Dr,Matanuska-Susitna Borough,61.617233,-149.747874,,,,,2023-08-12T10:49:50.664362
14919,1059877,"RASTA FARMS, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"RASTA FARMS, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Willow,99688,47291 S Yancey Dr,Matanuska-Susitna Borough,62.02468289999999,-150.0807583,,,,,2023-08-12T10:49:50.664362
15015,2119293,Cotton Mouth Cannabis Co.,Limited Marijuana Cultivation Facility,Active-Operating,Cotton Mouth Cannabis Co.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,#A3,Palmer,,,,,,,,,2023-08-12T10:49:50.664362
15025,2096878,Mad Mota,Limited Marijuana Cultivation Facility,Active-Operating,Mad Mota,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99623,4980 W Greensward Dr,,61.638708,-149.572829,,,,,2023-08-12T10:49:50.664362
15190,1060648,COLDSMOKE FARMS,Limited Marijuana Cultivation Facility,Active-Operating,COLDSMOKE FARMS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Soldotna,99669,840 Kalifornsky Beach Rd SUITE B,Kenai Peninsula Borough,60.47376149999999,-151.1262072,(907) 262-9333,,,,2023-08-12T10:49:50.664362
15223,1060571,ROCK HARD NUGZ AK,Limited Marijuana Cultivation Facility,Active-Operating,ROCK HARD NUGZ AK,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,240 W Kristy Dr,Matanuska-Susitna Borough,61.539072,-149.454958,,,,,2023-08-12T10:49:50.664362
15501,1061522,FAMILY TREES,Limited Marijuana Cultivation Facility,Active-Operating,FAMILY TREES,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99712,199 Thoreau Dr,Fairbanks North Star Borough,64.867904,-147.089569,,,,,2023-08-12T10:49:50.664362
15530,1052373,BUDMASTERS LIMITED PARTNERSHIP,Limited Marijuana Cultivation Facility,Active-Operating,BUDMASTERS LIMITED PARTNERSHIP,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,32685 McKinley View Dr,Matanuska-Susitna Borough,62.199469,-149.992724,,,,,2023-08-12T10:49:50.664362
16015,1062951,BLUFFSIDE GARDENS,Limited Marijuana Cultivation Facility,Active-Operating,BLUFFSIDE GARDENS,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,,,,,,,,,2023-08-12T10:49:50.664362
16028,2147945,Alaska Beasty Buds,Limited Marijuana Cultivation Facility,Active-Operating,Alaska Beasty Buds,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99705,,,,,,,,,2023-08-12T10:49:50.664362
16181,1063493,"POTTER'S HARVEST, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"POTTER'S HARVEST, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99687,4123 S Gon Fishin Dr,,61.53399,-149.651211,,,,,2023-08-12T10:49:50.664362
16225,1063475,GREEN GHOST FARMS LLC,Limited Marijuana Cultivation Facility,Active-Operating,GREEN GHOST FARMS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Houston,99694,11601 W King Arthur Dr,Anchorage Municipality,61.61438099999999,-149.727633,,,,,2023-08-12T10:49:50.664362
16276,1063908,ALASKAN DREAM LLC,Limited Marijuana Cultivation Facility,Active-Operating,ALASKAN DREAM LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Big Lake,99652,,,,,,,,,2023-08-12T10:49:50.664362
16474,1064927,GRATEFUL BUD LLC,Limited Marijuana Cultivation Facility,Active-Operating,GRATEFUL BUD LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kenai,99611,1817 Sunset Blvd,Kenai Peninsula Borough,60.58815680000001,-151.3325689,,,,,2023-08-12T10:49:50.664362
16791,1066190,RCJ LEGACY LLC.,Limited Marijuana Cultivation Facility,Active-Operating,RCJ LEGACY LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,BIG LAKE,99652,,,,,,,,,2023-08-12T10:49:50.664362
16916,1066918,DUTCH BUDS CANNABIS CO.,Limited Marijuana Cultivation Facility,Active-Operating,DUTCH BUDS CANNABIS CO.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,4240 S Headvic Ct,Matanuska-Susitna Borough,61.534097,-149.545606,,,,,2023-08-12T10:49:50.664362
17079,1067580,COTTONMOUTH ROAD,Limited Marijuana Cultivation Facility,Active-Operating,COTTONMOUTH ROAD,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Sterling,99672,38496 Hugh St,Kenai Peninsula Borough,60.53861200000001,-150.817225,,,,,2023-08-12T10:49:50.664362
17105,2085611,Sweet Matanuska Green,Limited Marijuana Cultivation Facility,Active-Operating,Sweet Matanuska Green,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,,,,,,,,,2023-08-12T10:49:50.664362
17548,1068782,"STONEWELL CULTIVATION, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"STONEWELL CULTIVATION, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,4255 Murphy Dome Rd,Fairbanks North Star Borough,64.928326,-148.083209,,,,,2023-08-12T10:49:50.664362
17594,1067691,NOME GROWN LLC,Limited Marijuana Cultivation Facility,Active-Operating,NOME GROWN LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,NOME,99762,,,,,,,,,2023-08-12T10:49:50.664362
17612,1069765,"VALLEY HAPPINESS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"VALLEY HAPPINESS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,905 S Vicki Way,Matanuska-Susitna Borough,61.5737529,-149.3491197,,,,,2023-08-12T10:49:50.664362
17692,1066543,MR. HAPPY FARMS LLC.,Limited Marijuana Cultivation Facility,Active-Operating,MR. HAPPY FARMS LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Wasilla,99654,3900 Sierra St,Matanuska-Susitna Borough,61.6248466,-149.3440141,,,,,2023-08-12T10:49:50.664362
17816,1064741,TALKEETNA TRADITIONS LLC,Limited Marijuana Cultivation Facility,Active-Operating,TALKEETNA TRADITIONS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Talkeetna,99676,,,,,,,,,2023-08-12T10:49:50.664362
17916,1066411,"TOP TIER GARDENS, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"TOP TIER GARDENS, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Meadow Lakes,99623,408 N O'daniel Rd,,61.582941,-149.716171,,,,,2023-08-12T10:49:50.664362
18931,1077233,"MATANUSKA BUD, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"MATANUSKA BUD, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,North Half of Shop Building,Palmer,5540 N Bonnie Dr,Matanuska-Susitna Borough,61.642779,-149.1962361,,,,,2023-08-12T10:49:50.664362
18945,1062266,AK GOLD LLC.,Limited Marijuana Cultivation Facility,Active-Operating,AK GOLD LLC.,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Kenai,99611,35911 Kenai Spur Hwy unit 11,Kenai Peninsula Borough,60.5005675,-151.0767583,(907) 513-1938,http://kenaigold.com/,,,2023-08-12T10:49:50.664362
19204,1078443,"MIKEY'S PLACE, LLC.",Limited Marijuana Cultivation Facility,Active-Operating,"MIKEY'S PLACE, LLC.",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Building B,Willow,,,,,,,,,2023-08-12T10:49:50.664362
19466,1081116,"GREEN ACRES 907, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"GREEN ACRES 907, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,BIG LAKE,99652,,,,,,,,,2023-08-12T10:49:50.664362
19473,1082714,GOLDSTREAM CANNABIS ANNEX,Limited Marijuana Cultivation Facility,Active-Operating,GOLDSTREAM CANNABIS ANNEX,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Fairbanks,99709,356 Old Steese Hwy,Fairbanks North Star Borough,64.8489182,-147.7037154,(907) 452-5463,https://www.goodalaska.com/,,,2023-08-12T10:49:50.664362
19532,1085113,HIGHLINER CRAFTS LLC,Limited Marijuana Cultivation Facility,Active-Operating,HIGHLINER CRAFTS LLC,,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,Ketchikan,99901,98 Kian St,Ketchikan Gateway Borough,55.411578,-131.727856,,,,,2023-08-12T10:49:50.664362
19874,1092306,"SNOW CAPPED GARDENS 2, LLC",Limited Marijuana Cultivation Facility,Active-Operating,"SNOW CAPPED GARDENS 2, LLC",,,AAMCO,Alaska Alcohol and Marijuana Control Office,Adult-Use,,,AK,,,,,(Shop on Ground Level),Wasilla,,,,,,,,,2023-08-12T10:49:50.664362
