business_legal_name,business_dba_name,issue_date,license_number,licensing_authority_id,licensing_authority,license_designation,premise_state,license_status,license_status_date,license_type,license_term,expiration_date,business_owner_name,business_structure,business_email,activity,parcel_number,id,business_image_url,business_website,premise_street_address,premise_city,premise_zip_code,business_phone,data_refreshed_date,premise_latitude,premise_longitude,premise_county
Verilife,Verilife,2019-11-19T00:00:00,284.000018-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000018-AUDO,,,4104 Columbus St.,Ottawa,61350,(815) 234-9189,2023-07-28T13:32:56-05:00,41.3795887,-88.8352948,LaSalle County
Verilife,Verilife,2019-11-19T00:00:00,284.000019-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000019-AUDO,,,1335 Lakeside Dr. Unit 4,Romeoville,60446,(630) 359-3213,2023-07-28T13:32:56-05:00,41.670568,-88.07350989999999,Will County
Enlightened –Cannabis for People,"Enlightened –
Cannabis for People",2019-11-19T00:00:00,284.000022-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000022-AUDO,,,2015 E. Euclid Ave.,Mt. Prospect,60056,(224) 801-2015,2023-07-28T13:32:56-05:00,42.0873547,-87.8935972,Cook County
Consume,Consume,2019-11-19T00:00:00,284.000023-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000023-AUDO,,,8195 Express Dr.,Marion,62959,(618) 969-8217,2023-07-28T13:32:56-05:00,37.7456348,-89.0067665,Williamson County
Cannabist - Chicago,Cannabist - Chicago,2019-11-25T00:00:00,284.000024-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000024-AUDO,,,4758 N. Milwaukee Ave.,Chicago,60630,(312) 948-9082,2023-07-28T13:32:56-05:00,41.9668837,-87.7602462,Cook County
Ascend,Ascend,2019-11-25T00:00:00,284.000025-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000025-AUDO,,,1014 Eastport Plaza Dr.,Collinsville,62234,(618) 381-9229,2023-07-28T13:32:56-05:00,38.6781642,-90.0164418,Madison County
Ascend,Ascend,2019-11-25T00:00:00,284.000026-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000026-AUDO,,,628 E. Adams St.,Springfield,62701,(217) 679-3283,2023-07-28T13:32:56-05:00,39.80026489999999,-89.64668080000001,Sangamon County
Nature’s Treatment,Nature’s Treatment,2019-11-25T00:00:00,284.000028-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000028-AUDO,,,973 Tech Dr.,Milan,61264,(309) 283-1642,2023-07-28T13:32:56-05:00,41.4422437,-90.5426676,Rock Island County
EarthMed,EarthMed,2019-11-25T00:00:00,284.000030-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000030-AUDO,,,852 S. Westgate St.,Addison,60101,(630) 607-0796,2023-07-28T13:32:56-05:00,41.91075319999999,-87.9936802,DuPage County
MedMen,MedMen,2019-12-11T00:00:00,284.000033-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000033-AUDO,,,1132 Lake St.,Oak Park,60301,(424) 330-2194,2023-07-28T13:32:56-05:00,41.8887173,-87.80422829999999,Cook County
NuEra,NuEra,2019-12-13T00:00:00,284.000035-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000035-AUDO,,,1308 W. North Ave.,Chicago,60642,(773) 687-8480,2023-07-28T13:32:56-05:00,41.9109796,-87.6608467,Cook County
NuEra,NuEra,2019-12-13T00:00:00,284.000036-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000036-AUDO,,,504 Riverside Dr.,East Peoria,61611,(309) 839-1330,2023-07-28T13:32:56-05:00,40.6809635,-89.58200169999999,Tazewell County
NuEra,NuEra,2019-12-13T00:00:00,284.000037-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000037-AUDO,,,105 E. University Ave.,Urbana,61801,(217) 607-2867,2023-07-28T13:32:56-05:00,40.1159917,-88.20601789999999,Champaign County
Rise,Rise,2019-12-30T00:00:00,284.000044-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000044-AUDO,,,2903 Colorado Ave.,Joliet,60431,(815) 773-1167,2023-07-28T13:32:56-05:00,41.5772002,-88.1605086,Will County
Thrive,Thrive,2019-12-30T00:00:00,284.000045-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000045-AUDO,,,87 Richview Dr.,Anna,62906,(616) 715-0887,2023-07-28T13:32:56-05:00,37.4670832,-89.22736830000001,Union County
Thrive,Thrive,2019-12-30T00:00:00,284.000046-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000046-AUDO,,,105 Veterans Drive,Harrisburg,62946,(616) 715-0882,2023-07-28T13:32:56-05:00,37.7495738,-88.5308295,Saline County
Rise,Rise,2020-01-13T00:00:00,284.000047-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000047-AUDO,,,2703 Broadway St.,Quincy,62301,(309) 204-3904,2023-07-28T13:32:56-05:00,39.9356817,-91.3718694,Adams County
Beyond/Hello,Beyond/Hello,2020-01-13T00:00:00,284.000048-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000048-AUDO,,,2021 Goose Lake Road,Sauget,62206,(309) 434-5141,2023-07-28T13:32:56-05:00,38.5640019,-90.1346178,St. Clair County
Hatch,Hatch,2020-02-14T00:00:00,284.000049-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000049-AUDO,,,1433 W Fullerton Ave. SteC,Addison,60101,(630) 519-1300,2023-07-28T13:32:56-05:00,41.9250101,-87.6647028,Cook County
Nature’s CareCompany,"Nature’s Care
Company",2020-02-14T00:00:00,284.000050-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000050-AUDO,,,975 Rohlwing Rd.,Rolling Meadows,60008,(847) 754-4955,2023-07-28T13:32:56-05:00,42.0994536,-88.02474269999999,Cook County
Beyond/Hello,Beyond/Hello,2020-03-11T00:00:00,284.000051-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000051-AUDO,,,501 W Northtown Rd.,Normal,61761,(309) 434-5141,2023-07-28T13:32:56-05:00,40.5463967,-88.9945061,McLean County
Sunnyside*,Sunnyside,2020-04-03T00:00:00,284.000053-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000053-AUDO,,,436 N. Clark St.,Chicago,60654,(312) 929-0993,2023-07-28T13:32:56-05:00,41.8903028,-87.63141089999999,Cook County
Nature’s Treatment,Nature’s Treatment,2020-04-17T00:00:00,284.000054-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000054-AUDO,,,735 W Main St.,Galesburg,61401,(309) 315-4684,2023-07-28T13:32:56-05:00,40.9483529,-90.3825604,Knox County
Rise,Rise,2020-05-21T00:00:00,284.000055-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000055-AUDO,,,9621 N. Milwaukee Ave.,Niles,60714,(815) 900-2227,2023-07-28T13:32:56-05:00,42.0553417,-87.8383216,Cook County
Sunnyside*,Sunnyside,2020-05-22T00:00:00,284.000056-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL.,Active,,Commercial - Retailer,,,,,,,,284.000056-AUDO,,,369 Lynch Road,Danville,61834,(217) 903-3576,2023-07-28T13:32:56-05:00,40.1253558,-87.5459686,Vermilion County
Consume,Consume,2020-06-19T00:00:00,284.000058-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,Il.,Active,,Commercial - Retailer,,,,,,,,284.000058-AUDO,,,201 E. Main Street,Carbondale,62901,(618) 969-8217,2023-07-28T13:32:56-05:00,37.7271869,-89.2150324,Jackson County
Sunnyside*,Sunnyside,2020-07-08T00:00:00,284.000059-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000059-AUDO,,,7000 First Ranger Dr.,South Beloit,61080,(779) 771-6660,2023-07-28T13:32:56-05:00,,,
Sunnyside*,Sunnyside,2020-07-31T00:00:00,284.000061-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000061-AUDO,,,1739 E. Golf Rd.,Schaumburg,60173,(312) 929-0993,2023-07-28T13:32:56-05:00,42.0502764,-88.03947769999999,Cook County
Nature’s CareCompany,"Nature’s Care
Company",2020-08-30T00:00:00,284.000064-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000064-AUDO,,,810 W. Randolph St.,Chicago,60607,(631) 637-2445,2023-07-28T13:32:56-05:00,41.884674,-87.6479774,Cook County
Cannabist – VillaPark,"Cannabist – Villa
Park",2020-09-16T00:00:00,284.000065-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL.,Active,,Commercial - Retailer,,,,,,,,284.000065-AUDO,,,133 W. Roosevelt Rd.,Villa Park,60181,(312) 948-9082,2023-07-28T13:32:56-05:00,41.8599425,-87.98179119999999,DuPage County
Thrive,Thrive,2020-09-17T00:00:00,284.000066-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000066-AUDO,,,800 S 45th St,Mount Vernon,62864,(618) 204-0096,2023-07-28T13:32:56-05:00,38.30848390000001,-88.951,Jefferson County
Ascend,Ascend,2020-10-29T00:00:00,284.000069-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,Il.,Active,,Commercial - Retailer,,,,,,,,284.000069-AUDO,,,3201 Horizon Dr.,Springfield,62703,(217) 718-2936,2023-07-28T13:32:56-05:00,39.7680841,-89.60494949999999,Sangamon County
NuEra,NuEra,2020-11-06T00:00:00,284.000072-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000072-AUDO,,,1415 Corporate Blvd,Aurora,60502-8897,(815) 993-3300,2023-07-28T13:32:56-05:00,41.8023145,-88.28147039999999,Kane County
Dispensary33,Dispensary33,2020-11-06T00:00:00,284.000073-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000073-AUDO,,,1152 W. Randolph,Chicago,60607,(312) 620-3333,2023-07-28T13:32:56-05:00,41.884532,-87.656302,Cook County
Ascend - MOCA,Ascend - MOCA,2020-12-15T00:00:00,284.000076-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000076-AUDO,,,2847 W. Fullerton Ave.,Chicago,60647,(773) 722-6622,2023-07-28T13:32:56-05:00,41.9246128,-87.6992819,Cook County
Ascend - MOCA,Ascend - MOCA,2020-12-15T00:00:00,284.000077-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000077-AUDO,,,216 W. Ohio St.,Chicago,60654,(773) 722-6622,2023-07-28T13:32:56-05:00,41.89251,-87.634946,Cook County
Beyond/Hello,Beyond/Hello,2020-12-18T00:00:00,284.000079-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000079-AUDO,,,1401 Mississippi Ave Ste 17,Sauget,62201,(618) 874-9800,2023-07-28T13:32:56-05:00,38.6039384,-90.1745825,St. Clair County
Sunnyside*,Sunnyside,2020-12-18T00:00:00,284.000080-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000080-AUDO,,,2740 W 75th St,Naperville,60564,(630) 884-8061,2023-07-28T13:32:56-05:00,41.7463969,-88.2014791,DuPage County
EarthMed,EarthMed,2020-12-27T00:00:00,284.000082-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000082-AUDO,,,10441 E. Touhy Ave.,Rosemont,60018,(224) 275-9333,2023-07-28T13:32:56-05:00,42.0088935,-87.8890948,Cook County
Windy CityCannabis,"Windy City
Cannabis",2021-03-16T00:00:00,284.000084-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000084-AUDO,,,1137 W. 175th St.,Homewood,60430,(312) 874-7040,2023-07-28T13:32:56-05:00,41.5712942,-87.6447786,Cook County
Beyond/Hello,Beyond/Hello,2021-01-22T00:00:00,284.000085-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL.,Active,,Commercial - Retailer,,,,,,,,284.000085-AUDO,,,118 Keaton Place,Bloomington,61704,(309)590-3005,2023-07-28T13:32:56-05:00,40.5011024,-88.9521775,McLean County
Windy CityCannabis,"Windy City
Cannabis",2021-03-16T00:00:00,284.000086-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000086-AUDO,,,2535 Veterans Dr,Posen,60469,(312) 874-7040,2023-07-28T13:32:56-05:00,41.6254094,-87.68327260000001,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000087-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000087-AUDO,,,11425 S Harlem Ave,Worth,60482,(312) 874-7040,2023-07-28T13:32:56-05:00,41.683398,-87.7967366,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000088-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000088-AUDO,,,8340 S Roberts Rd,Justice,60458,(312) 874-7040,2023-07-28T13:32:56-05:00,41.7390232,-87.8194817,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000089-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000089-AUDO,,,923 W Weed St,Chicago,60642,(312) 874-7040,2023-07-28T13:32:56-05:00,41.9096237,-87.6521281,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000090-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000090-AUDO,,,755 Skokie Blvd,Northbrook,60062,(708) 258-1141,2023-07-28T13:32:56-05:00,42.13909719999999,-87.79146589999999,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000091-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000091-AUDO,,,1413 W North Ave,Melrose Park,60160,(872) 225-0131,2023-07-28T13:32:56-05:00,41.9086839,-87.8509115,Cook County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000092-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000092-AUDO,,,2400 W US Route 6,Morris,60450,(815) 873-6047,2023-07-28T13:32:56-05:00,41.3714308,-88.468205,Grundy County
Curaleaf,Curaleaf,2021-03-16T00:00:00,284.000093-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000093-AUDO,,,10000 Skokie Blvd,Skokie,60077,(224) 707-9072,2023-07-28T13:32:56-05:00,42.0628308,-87.74707289999999,Cook County
Consume,Consume,2021-02-09T00:00:00,284.000094-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000094-AUDO,,,6428 N Milwaukee Ave,Chicago,60631,(872) 304-3113,2023-07-28T13:32:56-05:00,41.9978934,-87.78876600000001,Cook County
Consume,Consume,2021-02-09T00:00:00,284.000095-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,Il.,Active,,Commercial - Retailer,,,,,,,,284.000095-AUDO,,,1S 130 Summit Ave.,Oak Brook Terrace,60181,(630) 598-4900,2023-07-28T13:32:56-05:00,41.8578857,-87.97289320000002,DuPage County
Verilife,Verilife,2021-02-19T00:00:00,284.000096-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000096-AUDO,,,5540 Park Pl,Rosemont,60018,(888) 493-6066,2023-07-28T13:32:56-05:00,41.9795972,-87.8682865,Cook County
Verilife,Verilife,2021-02-24T00:00:00,284.000097-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000097-AUDO,,,115 Perry St.,Galena,61036,(815) 255-8715,2023-07-28T13:32:56-05:00,42.4160529,-90.42684249999999,Jo Daviess County
The Dispensary,The Dispensary,2021-03-04T00:00:00,284.000098-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000098-AUDO,,,1801 16th Ave.,Fulton,61252,(815) 208-7701,2023-07-28T13:32:56-05:00,41.8623895,-90.14650019999999,Whiteside County
Verilife,Verilife,2021-03-09T00:00:00,284.000099-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000099-AUDO,,,60 W Superior St,Chicago,60654-4788,(312) 667-6247,2023-07-28T13:32:56-05:00,41.8959417,-87.6304765,Cook County
Windy CityCannabis,"Windy City
Cannabis",2021-03-11T00:00:00,284.000100-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000100-AUDO,,,260 Green Bay Rd.,Highwood,60040,(847) 957-3501,2023-07-28T13:32:56-05:00,42.20180879999999,-87.81010330000001,Lake County
The HappyCannabis Company,"The Happy
Cannabis Company",2021-03-16T00:00:00,284.000102-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000102-AUDO,,,4120 N Bell School Rd,Loves Park,61111,Tel: (TBD),2023-07-28T13:32:56-05:00,42.32015260000001,-88.97066889999999,Winnebago County
Ascend,Ascend,2021-03-17T00:00:00,284.000104-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000104-AUDO,,,114 Commerce Ln,Fairview Heights,62208,Tel: (TBD),2023-07-28T13:32:56-05:00,38.5987863,-89.9898887,St. Clair County
Hatch Dispensary,Hatch Dispensary,2021-03-17T00:00:00,284.000105-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000105-AUDO,,,1500 E Lake Cook Rd,Wheeling,60090-2249,(224) 434-2320,2023-07-28T13:32:56-05:00,42.15405519999999,-87.9246939,Lake County
MedMen,MedMen,2021-03-18T00:00:00,284.000106-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000106-AUDO,,,6761 Dempster St,Morton Grove,60053-2607,(424) 307-0504,2023-07-28T13:32:56-05:00,42.0404347,-87.7951423,Cook County
Verilife,Verilife,2021-03-19T00:00:00,284.000108-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,IL,Active,,Commercial - Retailer,,,,,,,,284.000108-AUDO,,,150 N. Barrington Rd.,Schaumburg,60194,(630) 332-9602,2023-07-28T13:32:56-05:00,42.0352717,-88.14520189999999,Cook County
Windy City Cannabis,Windy City Cannabis,2021-03-19T00:00:00,284.000109-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use and Medicinal,IL,Active,,Commercial - Retailer,,,,,,,,284.000109-AUDO,,,719 W. Union Ave.,Litchfield,62056,(217) 253-8883,2023-07-28T13:32:56-05:00,39.1783862,-89.66286110000001,Montgomery County
Rise,Rise,2021-03-23T00:00:00,284.000110-AUDO,IDFPR,Illinois Department of Financial and Professional Regulation,Adult-Use,Lake,Active,,Commercial - Retailer,,,,,,,,284.000110-AUDO,,,270 N Randall Rd,Lake in the Hills IL 60156,60156,(312) 471-6720,2023-07-28T13:32:56-05:00,,,
