license_number,business_legal_name,business_type,premise_county,expiration_date,issue_date,business_owner_name,premise_street_address,mailing_street_address,business_phone,business_email,business_structure,business_image_url,business_website,id,premise_state,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,parcel_number,activity,premise_latitude,premise_longitude
DSPY000641,"Bennett Marketing, LLC",Dispensary,Lee County,,,"Gregory Bennett, Mama's Boys Investments, LLC","3978 N GLOSTER ST TUPELO, MS 38804","3978 N GLOSTER ST TUPELO, MS 38804",(601) 707-4039,jmitchell@hatlawfirm.com,,,,DSPY000641,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.312566,-88.7062691
DSPY008974,"BioSciences of Mississippi, LLC",Dispensary,Walthall County,,,"Michael Hutchison, Jeffrey Schmidtke","241 OLD HIGHWAY 98 E N/A TYLERTOWN, MS 39667","241 OLD HIGHWAY 98 E N/A TYLERTOWN, MS 39667",(150) 490-5875,jeffschmidtke@gmail.com,,,,DSPY008974,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.12470089999999,-90.1050739
DSPY013601,BLACK FARMERS HEMP OF MISSISSIPPI,Dispensary,Adams County,,,BLACK FARMERS HEMP OF MISSISSIPPI,"9Roux 61 Drive Unit A NATCHEZ, MS 39120","9Roux 61 Drive Unit A NATCHEZ, MS 39120",(337) 781-7778,angelman13@cox.net,,,,DSPY013601,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.5375413,-91.3781275
DSPY015982,"Bloom Medical Cannabis, LLC",Dispensary,Yazoo County,,,"Marley Porter, abdullah Mansoor, Mohammed Alqadhi","110 N JERRY CLOWER BLVD YAZOO CITY, MS 39194","5610 OLD CANTON RD JACKSON, MS 39211",(601) 467-3232,m.alqadhi777@gmail.com,,,,DSPY015982,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.8605514,-90.3914732
DSPY001641,BlueGreen Cannabis Inc,Dispensary,Lee County,,,Michaell Alford,"3128 OLD BELDEN CIR Tupelo, MS 38801","1223 NELLE ST TUPELO, MS 38801",(662) 397-7653,msalford@aol.com,,,,DSPY001641,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.301259,-88.768272
DSPY001741,"Bragg Canna of Mississippi, LLC",Dispensary,Lee County,,,"Lewis Swarts, George Payne, Roy Parker, Dennis Bragg","1167 S GREEN ST TUPELO, MS 38804","1220 GRIMWOOD RD TONEY, AL 35773",(256) 278-6403,nikki@braggcanna.com,,,,DSPY001741,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2408981,-88.7103109
DSPY004961,"Bragg Canna of Mississippi, LLC",Dispensary,Rankin County,,,"Lewis Swarts, George Parker, Roy Parker, Dennis Bragg","190 RIVERWIND DR PEARL, MS 39208","1220 GRIMWOOD RD TONEY, AL 35773",(256) 472-2662,nikki@braggcanna.com,,,,DSPY004961,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2686383,-90.1313402
DSPY010525,"Bragg Canna of Mississippi, LLC",Dispensary,Hinds County,,,"Lewis Swarts, George Payne, Roy Parker, Dennis Bragg","1072 HIGH ST JACKSON, MS 39202","1220 GRIMWOOD RD TONEY, AL 35773",(256) 472-2662,nikki@braggcanna.com,,,,DSPY010525,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3040401,-90.17186919999999
DSPY017347,"Brighter Day Holly Springs, LLC",Dispensary,Marshall County,,,"Hill Country Cannabis Fund, LLC","285 ALEXANDER DR HOLLY SPRINGS, MS 38635","1303 GARDENIA CV OXFORD, MS 38655",(662) 832-2870,robert@hcflowerco.com,,,,DSPY017347,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.7453019,-89.458137
DSPY017236,"Brighter Day Oxford, LLC",Dispensary,Lafayette County,,,"Hill Country Cannabis Fund, LLC","1654 BELK BLVD OXFORD, MS 38655","1303 GARDENIA CV OXFORD, MS 38655",(662) 832-2870,robert@hcflowerco.com,,,,DSPY017236,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.3435184,-89.5132538
DSPY014124,"Bud Barn, LLC.",Dispensary,Harrison County,,,"Daniel Burton, Joshua Evangelista, Sidney Lloyd, Connor Dena","15171 LAMEY BRIDGE RD STE A BILOXI, MS 39532","15171 LAMEY BRIDGE RD BILOXI, MS 39532",(601) 228-2751,denaconnor0817@gmail.com,,,,DSPY014124,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.5026317,-88.92373309999999
DSPY008161,BWD Central LLC,Dispensary,Rankin County,,,Abe Froman Investments LLC,"440 RIVERWIND DR PEARL, MS 39208","6910 N HOLMES ST STE 380 GLADSTONE, MO 64118",(918) 853-4482,bwd.llcs@gmail.com,,,,DSPY008161,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2677907,-90.1458291
DSPY014844,BWD Columbus LLC,Dispensary,Lowndes County,,,Abe Froman Investments LLC,"4072 HIGHWAY 45 N COLUMBUS, MS 39705","9577 RIDGEVIEW ST TULSA, OK 74131",(601) 201-5605,bwd.llcs.ms@gmail.com,,,,DSPY014844,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.5524728,-88.43262670000001
DSPY005725,BWD County Line LLC,Dispensary,Hinds County,,,Abe Froman Investments LLC,"1051 E COUNTY LINE RD JACKSON, MS 39211","1051 E COUNTY LINE RD STE 1059A JACKSON, MS 39211",(918) 853-4482,bwd.llcs@gmail.com,,,,DSPY005725,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3973603,-90.1388951
DSPY005438,BWD Meridian LLC,Dispensary,Lauderdale County,,,Abe Froman Investments LLC,"300 N FRONTAGE RD MERIDIAN, MS 39301","300 N FRONTAGE RD STE 600 MERIDIAN, MS 39301",(918) 853-4482,bwd.llcs@gmail.com,,,,DSPY005438,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.364227,-88.676864
DSPY002141,Cannacare LLC,Dispensary,Lee County,,,CannaCare LLC,"111 S INDUSTRIAL RD TUPELO, MS 38801","111 S INDUSTRIAL RD TUPELO, MS 38801",(662) 871-9522,cannacarellc22@gmail.com,,,,DSPY002141,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2556691,-88.7196793
DSPY006336,CannaMiss LLC,Dispensary,Lafayette County,,,CANNAMISS LLC,"1130 N LAMAR BLVD OXFORD, MS 38655","1130 N LAMAR BLVD OXFORD, MS 38655",(212) 537-6794,cyrusn@gmail.com,,,,DSPY006336,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.3774243,-89.5106127
DSPY000541,CannaMiss LLC,Dispensary,Lee County,,,CANNAMISS LLC,"1010 N GLOSTER ST TUPELO, MS 38804","1010 N GLOSTER ST B TUPELO, MS 38804",(212) 537-6794,cyrusn@gmail.com,,,,DSPY000541,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2762897,-88.7149838
DSPY019070,City Dispensary LLC,Dispensary,Tippah County,,,"Stevan Bolin, Philip Hearn, Brian Gates","830 CITY AVE S RIPLEY, MS 38663","830 CITY AVE S NUMBER D RIPLEY, MS 38663",(662) 587-0324,briankgates48@gmail.com,,,,DSPY019070,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.7215636,-88.95269239999999
DSPY006406,Cleveland Cannabis Company LLC,Dispensary,Bolivar County,,,Thomas JANOUSH,"3620 U.S. Hwy 61N CLEVELAND, MS 38732","PO BOX 1448 CLEVELAND, MS 38732",(662) 846-1716,tjanoush@wesjan.com,,,,DSPY006406,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.7440023,-90.7248187
DSPY001123,Coast Cannabis LLC,Dispensary,Hancock County,,,"Lesley Meng, Gina Pepe","835 US-90 Bay St Louis, MS 39520","835 US-90 6 Bay St Louiis, MS 39520",(985) 718-6907,ginampepe@aol.com,,,,DSPY001123,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.31524689999999,-89.35311240000001
DSPY009724,Coast Dispensary Inc,Dispensary,Harrison County,,,Hung-Tyler Ly,"913 DIVISION ST BILOXI, MS 39530","913 DIVISION ST BILOXI, MS 39530",(228) 239-7500,coastdispensary167@gmail.com,,,,DSPY009724,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4026043,-88.8934353
DSPY016238,"Collinsville Wellness Dispensary, LLC",Dispensary,Lauderdale County,,,"Brian Auzenne, Roy Glapion, Kenneth Auzenne, Kimberly Busbea","8990 HIGHWAY 19 N COLLINSVILLE, MS 39325","5651 WILD OAK RD BAILEY, MS 39320",(601) 527-2617,kimbusbea1@gmail.com,,,,DSPY016238,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.49302970000001,-88.84210580000001
DSPY012002,Corinth Cannabis LLC,Dispensary,Alcorn County,,,Erica Yates,"1507 HIGHWAY 72 E CORINTH, MS 38834","115 AFTON DR CORINTH, MS 38834",(256) 590-4899,matthew@corinthcannabis.com,,,,DSPY012002,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.9175307,-88.5075073
DSPY003902,"Corinth Mississippi Dispensary, LLC",Dispensary,Alcorn County,,,"Corinth Mississippi Dispensary, LLC","2609 HIGHWAY 72 W STE 802 CORINTH, MS 38834","425 W CAPITOL AVE STE 1350 LITTLE ROCK, AR 72201",(601) 906-2955,corinthdispensary@gmail.com,,,,DSPY003902,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.9304833,-88.5499421
DSPY000359,Cox-Blythe Dispensary Inc,Dispensary,Prentiss County,,,Maury Billingsley,"106 Ridgemont Villa BOONEVILLE, MS 38829","106 RIDGEMONT VILLA BOONEVILLE, MS 38829",(662) 416-8431,mkb1990@yahoo.com,,,,DSPY000359,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.6776327,-88.5605488
DSPY017761,Cream Cannabis Company,Dispensary,Rankin County,,,jason corban,"102 METROPLEX BLVD PEARL, MS 39208","102 METROPLEX BLVD B PEARL, MS 39208",(601) 954-2594,corbanoj@gmail.com,,,,DSPY017761,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2858823,-90.0598854
DSPY019130,CultivaRx LLC,Dispensary,Jackson County,,,Derek Pardoe,"1608 BIENVILLE BLVD OCEAN SPRINGS, MS 39564","3534 BRANDON JAMES DR BILOXI, MS 39532",(281) 910-6223,pardoe.cultivarx@gmail.com,,,,DSPY019130,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4157369,-88.81525889999999
DSPY004241,Cultivated Wellness Dispensary NO.1,Dispensary,Lee County,,,Terrell Roddy,"794 E MAIN ST TUPELO, MS 38804","794 E MAIN ST TUPELO, MS 38804",(970) 630-9722,troddy1965@gmail.com,,,,DSPY004241,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2569894,-88.6870727
DSPY012337,Cultivated Wellness Dispensary NO.2,Dispensary,Lamar County,,,"Larry Pickett, Larry Tubbs, Terrell Roddy","6690 U S HIGHWAY 98 HATTIESBURG, MS 39402","6690 U S HIGHWAY 98 HATTIESBURG, MS 39402",(970) 630-9722,troddy1965@gmail.com,,,,DSPY012337,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3159584,-89.43110569999999
DSPY010624,Cultivated Wellness Dispensary NO.3,Dispensary,Harrison County,,,"Laurence Pickett, Larry Tubbs, Terrell Roddy","12407 HIGHWAY 49 GULFPORT, MS 39503","12407 HIGHWAY 49 GULFPORT, MS 39503",(970) 630-9722,troddy1965@gmail.com,,,,DSPY010624,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4680672,-89.1030585
DSPY009224,"Culture Biloxi Shop, Inc.",Dispensary,Harrison County,,,"Barigye McCoy, JL Skylegacy Inc., DBJ La Mesa Corp","2572 PASS RD BILOXI, MS 39531","1 CORPORATE PARK STE 112 IRVINE, CA 92606",(619) 277-2827,devon@culturecannabisclub.com,,,,DSPY009224,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4012434,-88.9872144
DSPY009324,"Culture Gulfport Med, Inc.",Dispensary,Harrison County,,,"Barigye McCoy, DBJ La Mesa Corp, JL Skylegacy Inc.","9305 HIGHWAY 49 GULFPORT, MS 39503","1 CORPORATE PARK STE 112 IRVINE, CA 92606",(619) 277-2827,julie@culturecannabisclub.com,,,,DSPY009324,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4212486,-89.0930817
DSPY014044,D&S Best Friends Dispensary,Dispensary,Lowndes County,,,"Dawn English, Shikenwa Hawkins","3405 S FRONTAGE RD COLUMBUS, MS 39701","118 COLLEGE DR # 8675 HATTIESBURG, MS 39406",(601) 818-1570,dawn.english@dsdispensary.us,,,,DSPY014044,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.4784188,-88.5476386
DSPY011664,Dabbs Cannabis Dispensary,Dispensary,Simpson County,,,"Tony Wallace, Bobby Britton","1510 SIMPSON HIGHWAY 149 MENDENHALL, MS 39114","1510 SIMPSON HIGHWAY 149 MENDENHALL, MS 39114",(901) 412-9440,afbbritton@yahoo.com,,,,DSPY011664,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.9593449,-89.86137910000001
DSPY018462,Dabbs Cannabis Dispensary LLC,Dispensary,Scott County,,,"Tony Wallace, Bobby Britton","228 N WOODLAND DR / (228 MS-35) FOREST, MS 39074","PO BOX 777 MENDENHALL, MS 39114",(901) 412-9440,afbbritton@yahoo.com,,,,DSPY018462,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.3509536,-89.4817147
DSPY018964,Dabbs Cannabis Dispensary LLC,Dispensary,Simpson County,,,"Tony Wallace, Bobby Britton","1667 SIMPSON HIGHWAY 49 MAGEE, MS 39111","PO BOX 777 MENDENHALL, MS 39114",(901) 412-9440,afbbritton@yahoo.com,,,,DSPY018964,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.8685127,-89.7427419
DSPY019450,Dabbs Cannabis Dispensary LLC,Dispensary,Neshoba County,,,"Tony Wallace, Bobby Britton","1024 W BEACON ST PHILADELPHIA, MS 39350","PO BOX 777 MENDENHALL, MS 39114",(901) 412-9440,afbbritton@yahoo.com,,,,DSPY019450,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.7687251,-89.13081079999999
DSPY012125,Dank Box LLC,Dispensary,Hinds County,,,"Samantha Aziez, Isam Aziez, Raida Shamo","5852 RIDGEWOOD RD JACKSON, MS 39211","5852 RIDGEWOOD RD JACKSON, MS 39211",(619) 274-6431,raydah.gaya@gmail.com,,,,DSPY012125,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.387931,-90.1414178
DSPY006225,Danknolia Cannabis LLC,Dispensary,Hinds County,,,Shzam Cheema,"3188 W NORTHSIDE DR JACKSON, MS 39213","1335 ELLIS AVE STE 20 JACKSON, MS 39204",(405) 532-6633,emailshzam@yahoo.com,,,,DSPY006225,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.357481,-90.22959619999999
DSPY003025,Danknolia cannabis llc,Dispensary,Hinds County,,,Shzam Cheema,"5225 HIGHWAY 18 W JACKSON, MS 39209","1335 ELLIS AVE JACKSON, MS 39204",(405) 532-6633,emailshzam@yahoo.com,,,,DSPY003025,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.28970950000001,-90.2713394
DSPY009625,Danknolia cannabis llc,Dispensary,Hinds County,,,Shzam Cheema,"1335 ELLIS AVE JACKSON, MS 39204","1335 ELLIS AVE STE 20 JACKSON, MS 39204",(405) 532-6633,emailshzam@yahoo.com,,,,DSPY009625,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.2945113,-90.2286434
DSPY020214,"Dark Horse Medicinals Mississippi, LLC",Dispensary,Coahoma County,,,Sean Clarkson,"730 S STATE ST CLARKSDALE, MS 38614","1527 S BOWMAN RD # 4F LITTLE ROCK, AR 72211",(501) 743-8456,sclarkson@darkhorsemedicinals.com,,,,DSPY020214,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.18736579999999,-90.58187029999999
DSPY013957,DELTA DISPENSARY MAGNOLIA,Dispensary,Pike County,,,"ALIDA SLIPHER, BRANDON PAUL RIGGIO, RH DELTA 1114 LLC","319 E BAY ST MAGNOLIA, MS 39652","223 STATE ST MCCOMB, MS 39648",(601) 684-3200,slipherperformancehorses@gmail.com,,,,DSPY013957,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.1433254,-90.4574988
DSPY012757,DELTA DISPENSARY SUMMIT,Dispensary,Pike County,,,"COREY CAZAUX, ALIDA SLIPHER","1117 HIGHWAY 51 AND 98 SUMMIT, MS 39666","1117 HIGHWAY 51 AND 98 SUMMIT, MS 39666",(601) 248-4006,slipherlaw@gmail.com,,,,DSPY012757,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.2996596,-90.4677943
DSPY015123,Diamond Leaf,Dispensary,Hancock County,,,"Karen Daniel, Gina Pepe","445 YACHT CLUB DR DIAMONDHEAD, MS 39525","445 YACHT CLUB DR DIAMONDHEAD, MS 39525",(985) 718-6907,ginampepe@aol.com,,,,DSPY015123,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3696656,-89.37649230000001
DSPY007723,Diamondhead Root LLC,Dispensary,Hancock County,,,"Merritt Nicaud, US Canna Mississippi Holdings LLC, Coast Green Investments LLC, Coastal Alabama MC Group, LLC, Cannabliss LLC","4405 E ALOHA DR DIAMONDHEAD, MS 39525","4405 E ALOHA DR AA DIAMONDHEAD, MS 39525",(228) 363-4888,uscannams@gmail.com,,,,DSPY007723,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3760692,-89.3688603
DSPY016324,Dixon Dispensary LLC,Dispensary,Harrison County,,,John Dixon,"11370 HIGHWAY 49 GULFPORT, MS 39503","11370 HIGHWAY 49 STE G GULFPORT, MS 39503",(228) 380-1323,dixondispensaries@gmail.com,,,,DSPY016324,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4518969,-89.09741249999999
DSPY017030,Dolphin Dayz LLC,Dispensary,Jackson County,,,"April Jowers, Ashley Ehrgott, Donna Ryan","3300 LADNIER RD GAUTIER, MS 39553","3300 LADNIER RD GAUTIER, MS 39553",(317) 331-5807,dryan4238@gmail.com,,,,DSPY017030,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.3885871,-88.6460352
DSPY015454,Evergreen Dispensary LLC.,Dispensary,Panola County,,,Evergreen Dispensary LLC.,"13170 HIGHWAY 6 W BATESVILLE, MS 38606","2565 JAMISON RD MARKS, MS 38646",(865) 254-8697,evergreendispensary@outlook.com,,,,DSPY015454,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2894578,-90.1062991
DSPY015717,FAM Retail LLC,Dispensary,DeSoto County,,,"Nicholas Easley, Henry Reaves","9170 HACKS CROSS RD OLIVE BRANCH, MS 38654","78 REAVES RD HOLLY SPRINGS, MS 38635",(901) 417-7166,nyancey@napoleonlawfirm.com,,,,DSPY015717,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.9937298,-89.79469
DSPY016137,"FerrCannabis, LLC",Dispensary,Lamar County,,,"Peter Stokes, John Neal, Angela Ferraez, FerrCann, Inc.","6152 U S HIGHWAY 98 HATTIESBURG, MS 39402","6152 U S HIGHWAY 98 STE 20 HATTIESBURG, MS 39402",(662) 574-5279,cory@ferrcann.com,,,,DSPY016137,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3202643,-89.3858748
DSPY017630,"Firefly Cannabis, LLC",Dispensary,Jackson County,,,"Jonna McKinney, John McKinney","6911 WASHINGTON AVE OCEAN SPRINGS, MS 39564","PO BOX 8647 MOSS POINT, MS 39562",(601) 707-4039,JMitchell@hatlawfirm.com,,,,DSPY017630,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,30.4420947,-88.83826599999999
DSPY008669,Five Star Medical,Dispensary,Tate County,,,"Robin Baker, Michael Baker, Lindsey Criswell","409 NORFLEET DR SENATOBIA, MS 38668","409 NORFLEET DR SENATOBIA, MS 38668",(662) 501-0234,fivestarmedicalcompany@gmail.com,,,,DSPY008669,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.6265677,-89.9540371
DSPY014554,Good Day Dispensary,Dispensary,Panola County,,,Amy Phillips,"450/450A Hwy 51 Batesville, MS 38606","14721 HIGHWAY 35 S BATESVILLE, MS 38606",(662) 386-6111,gooddaydispensary@gmail.com,,,,DSPY014554,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.3185102,-89.9429454
DSPY020171,Green Akers Cannabis Inc,Dispensary,Tishomingo County,,,Green Akers Cannabis Inc,"1409 BATTLEGROUND DR IUKA, MS 38852","PO BOX 295 IUKA, MS 38852",(662) 423-8239,greenakersinc@yahoo.com,,,,DSPY020171,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.8019127,-88.203752
DSPY002941,"Green Magnolia Dispensaries, LLC",Dispensary,Lee County,,,"Green Magnolia Dispensaries, LLC","3437 TUPELO COMMONS STE 101 TUPELO, MS 38804","3437 TUPELO COMMONS STE 104 TUPELO, MS 38804",(662) 231-1895,jeff.webblaw@gmail.com,,,,DSPY002941,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2999621,-88.7062857
DSPY001345,"Green Magnolia of Canton, LLC",Dispensary,Madison County,,,"Green Magnolia of Canton, LLC","3142 S LIBERTY ST CANTON, MS 39046","PO BOX 452 CARTHAGE, MS 39051",(601) 267-9762,jeff.webblaw@gmail.com,,,,DSPY001345,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.5985546,-90.03545729999999
DSPY000244,Green Magnolia of Columbus LLC,Dispensary,Lowndes County,,,Green Magnolia of Columbus LLC,"Hwy 45 N 7432 COLUMBUS, MS 39705","PO BOX 452 CARTHAGE, MS 39051",(662) 231-1895,chad.kea@gmagnolia.com,,,,DSPY000244,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,33.6003566,-88.42285640000001
DSPY004338,Green Magnolia of Meridian LLC,Dispensary,Lauderdale County,,,"Joe Kea, Jeffrey Webb, Green Magnolia of Meridian LLC","4818 N PARK DR MERIDIAN, MS 39305","PO BOX 452 CARTHAGE, MS 39051",(662) 231-1895,tellington31@yahoo.com,,,,DSPY004338,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,32.408182,-88.7028165
DSPY018281,"Green Spark, LLC",Dispensary,Yalobusha County,,,"Green Spark, LLC","111 Main Street Water Valley, MS 38965","111 Main Street Water Valley, MS 38965",(347) 247-7453,greensparkms@gmail.com,,,,DSPY018281,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.150897,-89.63234299999999
DSPY008569,Green Star LLC,Dispensary,Tate County,,,"Charity Webb, Nastarcia Owens","9696 HIGHWAY 306 COLDWATER, MS 38618","6515 GOODMAN RD BOX 212 OLIVE BRANCH, MS 38654",(901) 257-8560,thegreenstarllc@gmail.com,,,,DSPY008569,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.6992877,-89.8124459
DSPY005037,Green Therapy LLC,Dispensary,Lamar County,,,"Melissa Griffin, Susan Lack, Kyle Lack","5004 LINCOLN ROAD EXT HATTIESBURG, MS 39402","PO BOX 568 PURVIS, MS 39475",(601) 297-0140,blueskyent@bellsouth.net,,,,DSPY005037,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,31.3017686,-89.37762190000001
DSPY001441,"Greenwise, LLC",Dispensary,Lee County,,,"Michael Gray, Stephanie Gray","715 GARFIELD ST TUPELO, MS 38801","505 COBBLESTONE CT MADISON, MS 39110",(601) 720-7749,Stephanie@greenwisems.com,,,,DSPY001441,MS,MMCP,Mississippi Medical Cannabis Program,Medical,,,,,34.2405268,-88.7168334
